yr,mon,week,yearwk,us,hfca,mal_notest_a_chw,mal_notest_a_hf,mal_notest_b_chw,mal_notest_b_hf,mal_htz_a_chw,mal_htz_a_hf,mal_htz_b_chw,mal_htz_b_hf,mal_rdt_a_chw,mal_rdt_a_hf,mal_rdt_b_chw,mal_rdt_b_hf,mal_ttal_a_chw,mal_ttal_a_hf,mal_ttal_b_chw,mal_ttal_b_hf,mal_ttas_a_chw,mal_ttas_a_hf,mal_ttas_b_chw,mal_ttas_b_hf,tot_htz_a_chw,tot_htz_a_hf,tot_htz_b_chw,tot_htz_b_hf,tot_rdt_a_chw,tot_rdt_a_hf,tot_rdt_b_chw,tot_rdt_b_hf,tot_a_chw,tot_a_hf,tot_b_chw,tot_b_hf,len
2014,1,1,2014W1,Magude-Sede,cs_magude,,,,,,,,,16,20,18,79,,,,,,,,,,,,,20,250,37,375,20,600,64,850,6
2014,1,1,2014W1,Facazissa,cs_facazissa,,,,,,,,,1,0,21,0,,,,,,,,,,,,,1,0,35,0,1,0,48,0,6
2014,1,1,2014W1,Moine,cs_moine,,,,,,,,,,0,,7,,,,,,,,,,,,,,1,,12,,15,,55,6
2014,1,1,2014W1,Motaze,cs_motaze,,,,,,,,,1,14,1,56,,,,,,,,,,,,,20,30,24,125,40,91,80,287,6
2014,1,1,2014W1,Panjane,cs_panjane,,,,,,,,,0,0,0,11,,,,,,,,,,,,,0,5,0,23,0,32,1,72,6
2014,1,1,2014W1,Mahel,cs_mahel,,,,,,,,,1,0,4,1,,,,,,,,,,,,,3,10,12,15,9,15,21,26,6
2014,1,1,2014W1,Chicutso,cs_chicutso,,,,,,,,,,0,,2,,,,,,,,,,,,,,1,,7,,4,,20,6
2014,1,1,2014W1,Mapulanguene,cs_mapulanguene,,,,,,,,,0,2,0,5,,,,,,,,,,,,,0,7,0,16,0,15,0,34,6
2014,1,1,2014W1,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
2014,1,1,2014W1,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
2014,3,10,2014W10,Magude-Sede,cs_magude,,,,,,,,,9,2,10,110,,,,,,,,,,,,,2,2,2,209,26,10,196,866,7
2014,3,10,2014W10,Facazissa,cs_facazissa,,,,,,,,,0,0,0,9,,,,,,,,,,,,,0,6,0,33,2,11,26,58,7
2014,3,10,2014W10,Moine,cs_moine,,,,,,,,,,12,,80,,,,,,,,,,,,,,23,,142,,58,,255,7
2014,3,10,2014W10,Motaze,cs_motaze,,,,,,,,,0,18,0,44,,,,,,,,,,,,,0,40,0,94,3,75,7,260,7
2014,3,10,2014W10,Panjane,cs_panjane,,,,,,,,,4,0,2,0,,,,,,,,,,,,,4,12,6,19,6,27,20,52,7
2014,3,10,2014W10,Mahel,cs_mahel,,,,,,,,,1,1,8,32,,,,,,,,,,,,,2,2,14,39,3,13,32,62,7
2014,3,10,2014W10,Chicutso,cs_chicutso,,,,,,,,,,0,,9,,,,,,,,,,,,,,10,,28,,19,,106,7
2014,3,10,2014W10,Mapulanguene,cs_mapulanguene,,,,,,,,,0,3,0,21,,,,,,,,,,,,,0,6,0,29,0,17,0,52,7
2014,3,10,2014W10,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,3,10,2014W10,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,3,11,2014W11,Magude-Sede,cs_magude,,,,,,,,,4,1,6,575,,,,,,,,,,,,,13,0,9,309,53,5,235,1156,7
2014,3,11,2014W11,Facazissa,cs_facazissa,,,,,,,,,0,5,0,15,,,,,,,,,,,,,0,9,0,62,2,16,63,72,7
2014,3,11,2014W11,Moine,cs_moine,,,,,,,,,,15,,54,,,,,,,,,,,,,,24,,128,,50,,215,7
2014,3,11,2014W11,Motaze,cs_motaze,,,,,,,,,0,9,1,52,,,,,,,,,,,,,0,53,1,188,14,146,28,462,7
2014,3,11,2014W11,Panjane,cs_panjane,,,,,,,,,13,2,15,44,,,,,,,,,,,,,13,8,21,89,13,,26,142,7
2014,3,11,2014W11,Mahel,cs_mahel,,,,,,,,,1,16,5,42,,,,,,,,,,,,,4,17,18,57,18,35,39,89,7
2014,3,11,2014W11,Chicutso,cs_chicutso,,,,,,,,,,2,,11,,,,,,,,,,,,,,2,,29,,19,,107,7
2014,3,11,2014W11,Mapulanguene,cs_mapulanguene,,,,,,,,,0,6,0,33,,,,,,,,,,,,,0,8,0,41,0,15,0,72,7
2014,3,11,2014W11,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,3,11,2014W11,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,3,12,2014W12,Magude-Sede,cs_magude,,,,,,,,,0,0,6,96,,,,,,,,,,,,,0,2,6,453,42,2,145,421,7
2014,3,12,2014W12,Facazissa,cs_facazissa,,,,,,,,,0,11,0,39,,,,,,,,,,,,,0,22,0,100,1,34,124,145,7
2014,3,12,2014W12,Moine,cs_moine,,,,,,,,,,7,,72,,,,,,,,,,,,,,17,,138,,76,,258,7
2014,3,12,2014W12,Motaze,cs_motaze,,,,,,,,,0,12,2,72,,,,,,,,,,,,,0,54,13,75,8,60,36,434,7
2014,3,12,2014W12,Panjane,cs_panjane,,,,,,,,,13,4,19,42,,,,,,,,,,,,,13,6,19,25,13,15,54,39,7
2014,3,12,2014W12,Mahel,cs_mahel,,,,,,,,,2,4,12,15,,,,,,,,,,,,,6,10,16,31,8,21,21,53,7
2014,3,12,2014W12,Chicutso,cs_chicutso,,,,,,,,,,3,,9,,,,,,,,,,,,,,5,,40,,29,,116,7
2014,3,12,2014W12,Mapulanguene,cs_mapulanguene,,,,,,,,,0,3,0,22,,,,,,,,,,,,,0,3,0,24,0,4,0,37,7
2014,3,12,2014W12,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,3,12,2014W12,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,3,13,2014W13,Magude-Sede,cs_magude,,,,,,,,,0,34,0,410,,,,,,,,,,,,,0,0,0,107,16,316,161,528,7
2014,3,13,2014W13,Facazissa,cs_facazissa,,,,,,,,,0,4,0,31,,,,,,,,,,,,,0,13,0,81,4,43,42,157,7
2014,3,13,2014W13,Moine,cs_moine,,,,,,,,,,9,,61,,,,,,,,,,,,,,15,,105,,52,,227,7
2014,3,13,2014W13,Motaze,cs_motaze,,,,,,,,,0,15,3,49,,,,,,,,,,,,,0,53,7,118,15,121,71,340,7
2014,3,13,2014W13,Panjane,cs_panjane,,,,,,,,,10,13,22,45,,,,,,,,,,,,,10,21,34,67,10,38,47,138,7
2014,3,13,2014W13,Mahel,cs_mahel,,,,,,,,,1,0,7,21,,,,,,,,,,,,,1,2,19,38,2,15,23,70,7
2014,3,13,2014W13,Chicutso,cs_chicutso,,,,,,,,,,2,,28,,,,,,,,,,,,,,6,,46,,17,,134,7
2014,3,13,2014W13,Mapulanguene,cs_mapulanguene,,,,,,,,,0,5,0,55,,,,,,,,,,,,,0,6,0,43,0,27,0,128,7
2014,3,13,2014W13,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,3,13,2014W13,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,4,14,2014W14,Magude-Sede,cs_magude,,,,,,,,,9,33,11,4,,,,,,,,,,,,,9,75,11,89,24,52,174,361,7
2014,4,14,2014W14,Facazissa,cs_facazissa,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,1,0,0,0,22,50,111,7
2014,4,14,2014W14,Moine,cs_moine,,,,,,,,,,25,,71,,,,,,,,,,,,,,39,,104,,83,,180,7
2014,4,14,2014W14,Motaze,cs_motaze,,,,,,,,,0,19,0,31,,,,,,,,,,,,,0,53,0,147,9,106,26,251,7
2014,4,14,2014W14,Panjane,cs_panjane,,,,,,,,,4,13,8,41,,,,,,,,,,,,,4,21,12,88,4,39,18,128,7
2014,4,14,2014W14,Mahel,cs_mahel,,,,,,,,,0,2,0,16,,,,,,,,,,,,,0,8,0,42,0,21,1,64,7
2014,4,14,2014W14,Chicutso,cs_chicutso,,,,,,,,,,2,,12,,,,,,,,,,,,,,7,,39,,26,,114,7
2014,4,14,2014W14,Mapulanguene,cs_mapulanguene,,,,,,,,,0,4,0,34,,,,,,,,,,,,,0,7,0,28,0,39,0,164,7
2014,4,14,2014W14,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,4,14,2014W14,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,4,15,2014W15,Magude-Sede,cs_magude,,,,,,,,,5,0,21,15,,,,,,,,,,,,,5,0,24,31,43,2,176,188,7
2014,4,15,2014W15,Facazissa,cs_facazissa,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,3,0,21,33,71,7
2014,4,15,2014W15,Moine,cs_moine,,,,,,,,,,5,,64,,,,,,,,,,,,,,11,,99,,33,,171,7
2014,4,15,2014W15,Motaze,cs_motaze,,,,,,,,,2,11,5,45,,,,,,,,,,,,,2,20,7,65,9,70,33,140,7
2014,4,15,2014W15,Panjane,cs_panjane,,,,,,,,,1,9,4,42,,,,,,,,,,,,,1,18,15,74,1,36,22,129,7
2014,4,15,2014W15,Mahel,cs_mahel,,,,,,,,,2,2,1,11,,,,,,,,,,,,,2,8,4,37,2,17,7,59,7
2014,4,15,2014W15,Chicutso,cs_chicutso,,,,,,,,,,2,,11,,,,,,,,,,,,,,5,,19,,25,,97,7
2014,4,15,2014W15,Mapulanguene,cs_mapulanguene,,,,,,,,,0,8,0,7,,,,,,,,,,,,,0,3,0,41,0,19,0,86,7
2014,4,15,2014W15,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,4,15,2014W15,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,4,16,2014W16,Magude-Sede,cs_magude,,,,,,,,,7,0,13,8,,,,,,,,,,,,,7,0,13,35,28,2,128,196,7
2014,4,16,2014W16,Facazissa,cs_facazissa,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,1,0,16,8,46,7
2014,4,16,2014W16,Moine,cs_moine,,,,,,,,,,42,,201,,,,,,,,,,,,,,10,,80,,46,,182,7
2014,4,16,2014W16,Motaze,cs_motaze,,,,,,,,,2,43,6,49,,,,,,,,,,,,,2,74,8,95,43,75,193,307,7
2014,4,16,2014W16,Panjane,cs_panjane,,,,,,,,,4,4,7,27,,,,,,,,,,,,,4,9,14,54,4,23,27,115,7
2014,4,16,2014W16,Mahel,cs_mahel,,,,,,,,,1,2,4,18,,,,,,,,,,,,,1,4,8,38,1,9,11,64,7
2014,4,16,2014W16,Chicutso,cs_chicutso,,,,,,,,,,2,,11,,,,,,,,,,,,,,4,,20,,19,,98,7
2014,4,16,2014W16,Mapulanguene,cs_mapulanguene,,,,,,,,,0,2,0,8,,,,,,,,,,,,,0,9,0,48,0,29,0,101,7
2014,4,16,2014W16,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,4,16,2014W16,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,4,17,2014W17,Magude-Sede,cs_magude,,,,,,,,,1,0,1,122,,,,,,,,,,,,,1,0,1,219,35,4,157,620,7
2014,4,17,2014W17,Facazissa,cs_facazissa,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,3,0,13,0,15,8,47,7
2014,4,17,2014W17,Moine,cs_moine,,,,,,,,,,58,,145,,,,,,,,,,,,,,13,,74,,18,,99,7
2014,4,17,2014W17,Motaze,cs_motaze,,,,,,,,,3,25,5,101,,,,,,,,,,,,,3,50,5,173,8,95,25,337,7
2014,4,17,2014W17,Panjane,cs_panjane,,,,,,,,,0,1,1,5,,,,,,,,,,,,,0,1,1,9,0,34,21,104,7
2014,4,17,2014W17,Mahel,cs_mahel,,,,,,,,,2,2,8,10,,,,,,,,,,,,,2,4,14,29,3,11,19,57,7
2014,4,17,2014W17,Chicutso,cs_chicutso,,,,,,,,,,2,,8,,,,,,,,,,,,,,5,,30,,26,,112,7
2014,4,17,2014W17,Mapulanguene,cs_mapulanguene,,,,,,,,,0,3,0,16,,,,,,,,,,,,,0,5,0,12,0,8,0,61,7
2014,4,17,2014W17,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,4,17,2014W17,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,5,18,2014W18,Magude-Sede,cs_magude,,,,,,,,,10,11,9,26,,,,,,,,,,,,,10,14,9,37,48,87,142,128,7
2014,5,18,2014W18,Facazissa,cs_facazissa,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,3,0,13,0,10,39,36,7
2014,5,18,2014W18,Moine,cs_moine,,,,,,,,,,40,,126,,,,,,,,,,,,,,11,,43,,19,,62,7
2014,5,18,2014W18,Motaze,cs_motaze,,,,,,,,,0,23,0,15,,,,,,,,,,,,,0,37,0,117,9,66,47,243,7
2014,5,18,2014W18,Panjane,cs_panjane,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,35,21,53,7
2014,5,18,2014W18,Mahel,cs_mahel,,,,,,,,,1,2,4,7,,,,,,,,,,,,,1,2,8,16,1,5,14,31,7
2014,5,18,2014W18,Chicutso,cs_chicutso,,,,,,,,,,1,,8,,,,,,,,,,,,,,4,,23,,29,,131,7
2014,5,18,2014W18,Mapulanguene,cs_mapulanguene,,,,,,,,,0,1,0,4,,,,,,,,,,,,,0,3,0,21,0,20,0,109,7
2014,5,18,2014W18,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,5,18,2014W18,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,5,19,2014W19,Magude-Sede,cs_magude,,,,,,,,,8,0,16,19,,,,,,,,,,,,,8,0,16,35,38,0,224,153,7
2014,5,19,2014W19,Facazissa,cs_facazissa,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,4,0,10,0,15,42,31,7
2014,5,19,2014W19,Moine,cs_moine,,,,,,,,,,43,,110,,,,,,,,,,,,,,9,,40,,11,,63,7
2014,5,19,2014W19,Motaze,cs_motaze,,,,,,,,,0,17,0,46,,,,,,,,,,,,,0,21,0,73,6,45,64,142,7
2014,5,19,2014W19,Panjane,cs_panjane,,,,,,,,,1,0,0,0,,,,,,,,,,,,,1,0,0,0,1,23,20,64,7
2014,5,19,2014W19,Mahel,cs_mahel,,,,,,,,,1,1,3,8,,,,,,,,,,,,,1,2,4,15,1,9,9,32,7
2014,5,19,2014W19,Chicutso,cs_chicutso,,,,,,,,,,0,,9,,,,,,,,,,,,,,1,,25,,24,,92,7
2014,5,19,2014W19,Mapulanguene,cs_mapulanguene,,,,,,,,,0,1,0,4,,,,,,,,,,,,,0,5,0,26,0,13,0,43,7
2014,5,19,2014W19,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,5,19,2014W19,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,1,2,2014W2,Magude-Sede,cs_magude,,,,,,,,,11,40,4,89,,,,,,,,,,,,,12,4,24,250,25,385,234,425,6
2014,1,2,2014W2,Facazissa,cs_facazissa,,,,,,,,,0,0,1,0,,,,,,,,,,,,,1,0,6,0,2,0,19,0,6
2014,1,2,2014W2,Moine,cs_moine,,,,,,,,,,4,,12,,,,,,,,,,,,,,4,,28,,30,,100,6
2014,1,2,2014W2,Motaze,cs_motaze,,,,,,,,,17,22,14,81,,,,,,,,,,,,,22,41,28,150,57,86,71,353,6
2014,1,2,2014W2,Panjane,cs_panjane,,,,,,,,,0,7,0,8,,,,,,,,,,,,,0,3,0,19,0,21,2,56,6
2014,1,2,2014W2,Mahel,cs_mahel,,,,,,,,,1,0,2,1,,,,,,,,,,,,,2,10,11,27,5,25,18,48,6
2014,1,2,2014W2,Chicutso,cs_chicutso,,,,,,,,,,2,,5,,,,,,,,,,,,,,2,,16,,8,,55,6
2014,1,2,2014W2,Mapulanguene,cs_mapulanguene,,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,31,0,7,0,37,0,12,6
2014,1,2,2014W2,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
2014,1,2,2014W2,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
2014,5,20,2014W20,Magude-Sede,cs_magude,,,,,,,,,8,16,34,18,,,,,,,,,,,,,8,23,34,23,66,125,212,78,7
2014,5,20,2014W20,Facazissa,cs_facazissa,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,6,0,24,0,26,53,90,7
2014,5,20,2014W20,Moine,cs_moine,,,,,,,,,,10,,52,,,,,,,,,,,,,,15,,76,,42,,142,7
2014,5,20,2014W20,Motaze,cs_motaze,,,,,,,,,0,14,0,57,,,,,,,,,,,,,0,30,0,89,26,40,90,135,7
2014,5,20,2014W20,Panjane,cs_panjane,,,,,,,,,0,4,0,8,,,,,,,,,,,,,0,8,0,11,0,32,27,53,7
2014,5,20,2014W20,Mahel,cs_mahel,,,,,,,,,0,1,0,9,,,,,,,,,,,,,0,2,0,17,0,3,5,28,7
2014,5,20,2014W20,Chicutso,cs_chicutso,,,,,,,,,,0,,2,,,,,,,,,,,,,,2,,10,,14,,77,7
2014,5,20,2014W20,Mapulanguene,cs_mapulanguene,,,,,,,,,0,1,0,2,,,,,,,,,,,,,0,7,0,14,0,10,0,49,7
2014,5,20,2014W20,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,5,20,2014W20,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,5,21,2014W21,Magude-Sede,cs_magude,,,,,,,,,3,13,2,33,,,,,,,,,,,,,3,26,2,43,46,94,173,80,7
2014,5,21,2014W21,Facazissa,cs_facazissa,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,2,0,23,0,11,25,44,7
2014,5,21,2014W21,Moine,cs_moine,,,,,,,,,,13,,26,,,,,,,,,,,,,,14,,54,,43,,110,7
2014,5,21,2014W21,Motaze,cs_motaze,,,,,,,,,0,30,0,94,,,,,,,,,,,,,0,70,0,150,14,115,74,300,7
2014,5,21,2014W21,Panjane,cs_panjane,,,,,,,,,0,4,1,9,,,,,,,,,,,,,0,0,1,0,0,35,9,53,7
2014,5,21,2014W21,Mahel,cs_mahel,,,,,,,,,1,1,0,5,,,,,,,,,,,,,1,1,0,13,1,6,0,43,7
2014,5,21,2014W21,Chicutso,cs_chicutso,,,,,,,,,,0,,1,,,,,,,,,,,,,,1,,9,,5,,57,7
2014,5,21,2014W21,Mapulanguene,cs_mapulanguene,,,,,,,,,0,0,0,2,,,,,,,,,,,,,0,4,0,19,0,6,0,37,7
2014,5,21,2014W21,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,5,21,2014W21,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,6,22,2014W22,Magude-Sede,cs_magude,,,,,,,,,6,0,17,41,,,,,,,,,,,,,6,0,17,46,65,0,235,126,7
2014,6,22,2014W22,Facazissa,cs_facazissa,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,10,0,7,49,34,7
2014,6,22,2014W22,Moine,cs_moine,,,,,,,,,,1,,17,,,,,,,,,,,,,,4,,34,,25,,114,7
2014,6,22,2014W22,Motaze,cs_motaze,,,,,,,,,0,14,0,57,,,,,,,,,,,,,0,30,0,89,7,40,53,135,7
2014,6,22,2014W22,Panjane,cs_panjane,,,,,,,,,1,2,2,5,,,,,,,,,,,,,1,0,3,0,1,23,3,64,7
2014,6,22,2014W22,Mahel,cs_mahel,,,,,,,,,0,2,0,9,,,,,,,,,,,,,0,3,0,14,0,9,8,41,7
2014,6,22,2014W22,Chicutso,cs_chicutso,,,,,,,,,,0,,0,,,,,,,,,,,,,,1,,12,,10,,52,7
2014,6,22,2014W22,Mapulanguene,cs_mapulanguene,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,2,0,17,0,9,0,42,7
2014,6,22,2014W22,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,6,22,2014W22,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,6,23,2014W23,Magude-Sede,cs_magude,,,,,,,,,9,23,15,11,,,,,,,,,,,,,9,82,15,45,43,214,158,68,7
2014,6,23,2014W23,Facazissa,cs_facazissa,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,2,0,9,0,12,77,35,7
2014,6,23,2014W23,Moine,cs_moine,,,,,,,,,,2,,24,,,,,,,,,,,,,,4,,31,,21,,83,7
2014,6,23,2014W23,Motaze,cs_motaze,,,,,,,,,0,31,0,98,,,,,,,,,,,,,0,60,0,150,5,120,45,211,7
2014,6,23,2014W23,Panjane,cs_panjane,,,,,,,,,0,4,1,8,,,,,,,,,,,,,0,11,2,21,0,22,4,63,7
2014,6,23,2014W23,Mahel,cs_mahel,,,,,,,,,0,0,0,4,,,,,,,,,,,,,0,0,0,10,0,3,0,32,7
2014,6,23,2014W23,Chicutso,cs_chicutso,,,,,,,,,,0,,1,,,,,,,,,,,,,,0,,4,,5,,17,7
2014,6,23,2014W23,Mapulanguene,cs_mapulanguene,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,1,0,16,0,12,0,58,7
2014,6,23,2014W23,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,6,23,2014W23,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,6,24,2014W24,Magude-Sede,cs_magude,,,,,,,,,9,16,11,14,,,,,,,,,,,,,9,29,11,20,56,147,234,48,7
2014,6,24,2014W24,Facazissa,cs_facazissa,,,,,,,,,0,4,0,5,,,,,,,,,,,,,0,5,0,9,0,13,48,35,7
2014,6,24,2014W24,Moine,cs_moine,,,,,,,,,,6,,9,,,,,,,,,,,,,,8,,19,,39,,96,7
2014,6,24,2014W24,Motaze,cs_motaze,,,,,,,,,0,19,0,57,,,,,,,,,,,,,0,56,0,205,15,175,62,225,7
2014,6,24,2014W24,Panjane,cs_panjane,,,,,,,,,1,2,0,5,,,,,,,,,,,,,1,3,0,9,1,30,6,58,7
2014,6,24,2014W24,Mahel,cs_mahel,,,,,,,,,0,0,0,8,,,,,,,,,,,,,0,2,0,10,0,4,0,44,7
2014,6,24,2014W24,Chicutso,cs_chicutso,,,,,,,,,,0,,3,,,,,,,,,,,,,,0,,8,,1,,38,7
2014,6,24,2014W24,Mapulanguene,cs_mapulanguene,,,,,,,,,0,1,0,2,,,,,,,,,,,,,0,2,0,8,0,3,0,23,7
2014,6,24,2014W24,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,6,24,2014W24,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,6,25,2014W25,Magude-Sede,cs_magude,,,,,,,,,0,8,0,1,,,,,,,,,,,,,0,31,0,3,30,181,152,65,7
2014,6,25,2014W25,Facazissa,cs_facazissa,,,,,,,,,0,5,0,21,,,,,,,,,,,,,0,8,0,35,0,19,38,53,7
2014,6,25,2014W25,Moine,cs_moine,,,,,,,,,,0,,1,,,,,,,,,,,,,,0,,3,,24,,55,7
2014,6,25,2014W25,Motaze,cs_motaze,,,,,,,,,0,12,0,67,,,,,,,,,,,,,0,47,6,126,25,124,72,249,7
2014,6,25,2014W25,Panjane,cs_panjane,,,,,,,,,0,5,0,9,,,,,,,,,,,,,0,7,0,18,0,26,9,63,7
2014,6,25,2014W25,Mahel,cs_mahel,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,2,0,2,0,9,0,26,7
2014,6,25,2014W25,Chicutso,cs_chicutso,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,2,,10,,32,7
2014,6,25,2014W25,Mapulanguene,cs_mapulanguene,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,5,0,19,0,10,0,51,7
2014,6,25,2014W25,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,6,25,2014W25,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,6,26,2014W26,Magude-Sede,cs_magude,,,,,,,,,0,3,0,7,,,,,,,,,,,,,0,10,0,14,24,61,157,132,7
2014,6,26,2014W26,Facazissa,cs_facazissa,,,,,,,,,0,3,0,9,,,,,,,,,,,,,0,6,0,34,0,20,94,73,7
2014,6,26,2014W26,Moine,cs_moine,,,,,,,,,,1,,6,,,,,,,,,,,,,,9,,14,,34,,89,7
2014,6,26,2014W26,Motaze,cs_motaze,,,,,,,,,0,17,0,42,,,,,,,,,,,,,0,30,0,286,17,87,67,286,7
2014,6,26,2014W26,Panjane,cs_panjane,,,,,,,,,0,3,0,12,,,,,,,,,,,,,0,6,1,25,0,19,3,47,7
2014,6,26,2014W26,Mahel,cs_mahel,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,6,4,6,0,32,7
2014,6,26,2014W26,Chicutso,cs_chicutso,,,,,,,,,,0,,1,,,,,,,,,,,,,,0,,8,,5,,40,7
2014,6,26,2014W26,Mapulanguene,cs_mapulanguene,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,1,0,32,0,11,0,43,7
2014,6,26,2014W26,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,6,26,2014W26,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,7,27,2014W27,Magude-Sede,cs_magude,,,,,,,,,0,0,9,9,,,,,,,,,,,,,0,31,9,17,23,232,187,186,7
2014,7,27,2014W27,Facazissa,cs_facazissa,,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,2,0,8,0,5,48,21,7
2014,7,27,2014W27,Moine,cs_moine,,,,,,,,,,1,,3,,,,,,,,,,,,,,3,,16,,11,,64,7
2014,7,27,2014W27,Motaze,cs_motaze,,,,,,,,,0,75,0,37,,,,,,,,,,,,,0,65,0,1,9,111,57,262,7
2014,7,27,2014W27,Panjane,cs_panjane,,,,,,,,,0,3,0,9,,,,,,,,,,,,,0,6,0,29,0,21,1,87,7
2014,7,27,2014W27,Mahel,cs_mahel,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0,0,2,3,9,4,28,7
2014,7,27,2014W27,Chicutso,cs_chicutso,,,,,,,,,,0,,2,,,,,,,,,,,,,,2,,11,,8,,53,7
2014,7,27,2014W27,Mapulanguene,cs_mapulanguene,,,,,,,,,0,0,0,1,,,,,,,,,,,,,0,1,0,14,0,5,0,23,7
2014,7,27,2014W27,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,7,27,2014W27,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
2014,7,28,2014W28,Magude-Sede,cs_magude,,,,,,,,,0,1,0,3,,,,,,,,,,,,,0,4,0,7,28,41,203,104,7
