date	funestus_sc_1_arabiensis_sc_5	funestus_sc_0.5_arabiensis_sc_4	funestus_sc_1_arabiensis_sc_5	observed
20111121	0.0550193041563	0.032355915755	0.0550193041563	NaN
20111122	0.0463320463896	0.0333333350718	0.0463320463896	NaN
20111123	0.055984556675	0.0323232337832	0.055984556675	NaN
20111124	0.0453667938709	0.0272727273405	0.0453667938709	NaN
20111125	0.0511583015323	0.0393939390779	0.0511583015323	NaN
20111126	0.047342993319	0.028282828629	0.047342993319	NaN
20111127	0.0444874279201	0.0313131324947	0.0444874279201	NaN
20111128	0.046421661973	0.0313131324947	0.046421661973	NaN
20111129	0.0502901338041	0.0302724521607	0.0502901338041	NaN
20111130	0.0502901338041	0.0332996957004	0.0502901338041	NaN
20111201	0.0551257245243	0.0353535339236	0.0551257245243	NaN
20111202	0.0551790893078	0.0313131324947	0.0551790893078	NaN
20111203	0.049370765686	0.0303030312061	0.049370765686	NaN
20111204	0.0532429814339	0.0363269411027	0.0532429814339	NaN
20111205	0.050338819623	0.0272452067584	0.050338819623	NaN
20111206	0.0522749274969	0.0302724521607	0.0522749274969	0.0184426229508
20111207	0.0561471432447	0.02825428918	0.0561471432447	NaN
20111208	0.0522749274969	0.0332996957004	0.0522749274969	NaN
20111209	0.0483558997512	0.0272452067584	0.0483558997512	NaN
20111210	0.0473887808621	0.0302724521607	0.0473887808621	NaN
20111211	0.037717603147	0.0322906151414	0.037717603147	NaN
20111212	0.0232108309865	0.0151362260804	0.0232108309865	NaN
20111213	0.0193423591554	0.0201816353947	0.0193423591554	NaN
20111214	0.02224371396	0.0161453075707	0.02224371396	NaN
20111215	0.0270793028176	0.0221997983754	0.0270793028176	NaN
20111216	0.0357833653688	0.0272452067584	0.0357833653688	NaN
20111217	0.0387596897781	0.0292633697391	0.0387596897781	NaN
20111218	0.0368217043579	0.023208880797	0.0368217043579	NaN
20111219	0.0348837226629	0.0272452067584	0.0348837226629	NaN
20111220	0.0416666679084	0.0252270437777	0.0416666679084	NaN
20111221	0.0406976751983	0.0292633697391	0.0406976751983	NaN
20111222	0.0387972854078	0.023208880797	0.0387972854078	NaN
20111223	0.039767216891	0.0272452067584	0.039767216891	NaN
20111224	0.0417070798576	0.0252270437777	0.0417070798576	NaN
20111225	0.0358874872327	0.024217961356	0.0358874872327	NaN
20111226	0.0368574187159	0.0242424234748	0.0368574187159	NaN
20111227	0.0368932038546	0.0262626260519	0.0368932038546	NaN
20111228	0.0398058257997	0.0242424234748	0.0398058257997	NaN
20111229	0.0368932038546	0.0262626260519	0.0368932038546	NaN
20111230	0.0407766997814	0.0273279361427	0.0407766997814	NaN
20111231	0.0398058257997	0.0242914985865	0.0398058257997	NaN
20120101	0.0417070798576	0.0253036431968	0.0417070798576	NaN
20120102	0.0426770113409	0.0222672056407	0.0426770113409	NaN
20120103	0.0358874872327	0.0293522272259	0.0358874872327	NaN
20120104	0.0465567409992	0.0263157896698	0.0465567409992	NaN
20120105	0.0436469465494	0.0273279361427	0.0436469465494	NaN
20120106	0.0417070798576	0.0262891817838	0.0417070798576	NaN
20120107	0.0339476242662	0.0293522272259	0.0339476242662	NaN
20120108	0.0368217043579	0.028340080753	0.0368217043579	NaN
20120109	0.0387596897781	0.0293522272259	0.0387596897781	NaN
20120110	0.0349175557494	0.028340080753	0.0349175557494	NaN
20120111	0.0387972854078	0.0283687934279	0.0387972854078	NaN
20120112	0.0358874872327	0.0354609936476	0.0358874872327	NaN
20120113	0.0339147299528	0.033434651792	0.0339147299528	NaN
20120114	0.0339805819094	0.0253292806447	0.0339805819094	NaN
20120115	0.0349175557494	0.0253292806447	0.0349175557494	NaN
20120116	0.0290979631245	0.0263424515724	0.0290979631245	NaN
20120117	0.0261881668121	0.0243161097169	0.0261881668121	NaN
20120118	0.0310077518225	0.0202429145575	0.0310077518225	NaN
20120119	0.0290697682649	0.0242914985865	0.0290697682649	NaN
20120120	0.0339147299528	0.0222672056407	0.0339147299528	NaN
20120121	0.0290979631245	0.0192307699472	0.0290979631245	NaN
20120122	0.0290979631245	0.0222672056407	0.0290979631245	NaN
20120123	0.0300678946078	0.0202429145575	0.0300678946078	NaN
20120124	0.0368574187159	0.0162107404321	0.0368574187159	NaN
20120125	0.0320077612996	0.0192502532154	0.0320077612996	NaN
20120126	0.0339476242662	0.0233265720308	0.0339476242662	NaN
20120127	0.0261881668121	0.0203045681119	0.0261881668121	NaN
20120128	0.0320077612996	0.0233502537012	0.0320077612996	NaN
20120129	0.0290979631245	0.0182741116732	0.0290979631245	NaN
20120130	0.0358874872327	0.0253807101399	0.0358874872327	NaN
20120131	0.0329776927829	0.0203252024949	0.0329776927829	NaN
20120201	0.0320077612996	0.0203252024949	0.0320077612996	NaN
20120202	0.0349175557494	0.0182741116732	0.0349175557494	NaN
20120203	0.0329457372427	0.0213197972626	0.0329457372427	NaN
20120204	0.0358527116478	0.0192893408239	0.0358527116478	NaN
20120205	0.0358180068433	0.0203045681119	0.0358180068433	NaN
20120206	0.0319457873702	0.0213197972626	0.0319457873702	NaN
20120207	0.0387221686542	0.021298173815	0.0387221686542	NaN
20120208	0.0377541147173	0.0243407711387	0.0377541147173	NaN
20120209	0.0367504842579	0.0273833665997	0.0367504842579	NaN
20120210	0.03188405931	0.021298173815	0.03188405931	NaN
20120211	0.0405405387282	0.0273833665997	0.0405405387282	NaN
20120212	0.0289575289935	0.021298173815	0.0289575289935	NaN
20120213	0.0308582447469	0.0243654828519	0.0308582447469	NaN
20120214	0.0337837822735	0.0233502537012	0.0337837822735	NaN
