date	funestus_sc_4.5_arabiensis_sc_18	funestus_sc_1_arabiensis_sc_12	funestus_sc_4_arabiensis_sc_62	observed
20120320	0.234704107046	0.0772277191281	0.358224004507	NaN
20120321	0.224674016237	0.072277225554	0.384072571993	NaN
20120322	0.220883533359	0.0752475261688	0.383064508438	NaN
20120323	0.238955825567	0.080198019743	0.410282254219	NaN
20120324	0.231927707791	0.087128713727	0.413306444883	NaN
20120325	0.239195972681	0.080198019743	0.418346762657	NaN
20120326	0.236180901527	0.0852329060435	0.431451618671	NaN
20120327	0.249246224761	0.0773042589426	0.444556444883	NaN
20120328	0.257545262575	0.0941526293755	0.451612889767	NaN
20120329	0.24773414433	0.0853174626827	0.456653237343	NaN
20120330	0.260825783014	0.0930693075061	0.456653237343	NaN
20120331	0.262839883566	0.080198019743	0.465256810188	NaN
20120401	0.257804632187	0.087128713727	0.462235659361	NaN
20120402	0.24773414433	0.0772277191281	0.474320232868	NaN
20120403	0.248741194606	0.0851485133171	0.485887110233	NaN
20120404	0.262839883566	0.0811881199479	0.493951618671	NaN
20120405	0.248741194606	0.0882061421871	0.490413725376	NaN
20120406	0.24773414433	0.0773042589426	0.488395571709	NaN
20120407	0.240684792399	0.0832507461309	0.490927428007	NaN
20120408	0.24773414433	0.074331022799	0.498489439488	NaN
20120409	0.24773414433	0.096134789288	0.49698188901	NaN
20120410	0.254032254219	0.084241822362	0.505030155182	NaN
20120411	0.256048381329	0.0872150659561	0.504531741142	NaN
20120412	0.258064508438	0.0822596624494	0.506545841694	NaN
20120413	0.261088699102	0.0921704694629	0.515609264374	NaN
20120414	0.257315844297	0.0792864188552	0.508064508438	NaN
20120415	0.254288583994	0.0893743783235	0.493440955877	NaN
20120416	0.266397565603	0.077457793057	0.502522706985	NaN
20120417	0.25529769063	0.0843253955245	0.501513600349	NaN
20120418	0.27043390274	0.0843253955245	0.497477293014	NaN
20120419	0.260343074799	0.0943396240473	0.487903237343	NaN
20120420	0.259333997965	0.0814299881458	0.478830635548	NaN
20120421	0.239152371883	0.0863952338696	0.485887110233	NaN
20120422	0.247983872891	0.0873882845044	0.486404836178	NaN
20120423	0.242943555117	0.0913604795933	0.469284981489	NaN
20120424	0.251008063555	0.0902777761221	0.48338368535	NaN
20120425	0.240684792399	0.0882936492562	0.475327283144	NaN
20120426	0.244959682226	0.0902777761221	0.474320232868	NaN
20120427	0.242179617286	0.0920792073011	0.47633433342	NaN
20120428	0.236125126481	0.0851485133171	0.47633433342	NaN
20120429	0.23814329505	0.0929772481322	0.485397785902	NaN
20120430	0.252270430326	0.0929772481322	0.480362534523	NaN
20120501	0.23107971251	0.10089020431	0.468277931213	NaN
20120502	0.230846777558	0.105835802853	0.486404836178	NaN
20120503	0.239677742124	0.106824927032	0.472782254219	NaN
20120504	0.217522665858	0.10781404376	0.474798381329	NaN
20120505	0.238670691848	0.109792284668	0.463242709637	NaN
20120506	0.229145735502	0.110891088843	0.470292031765	NaN
