date	funestus_sc_1_arabiensis_sc_4.5	funestus_sc_0.05_arabiensis_sc_3	funestus_sc_0.02_arabiensis_sc_3	observed
20111121	0.0289575289935	0.00595238106325	0.011940298602	NaN
20111122	0.0299227796495	0.00496031763032	0.0129353236407	NaN
20111123	0.0308880303055	0.00694444449619	0.0159203987569	NaN
20111124	0.0241312738508	0.00595238106325	0.0159203987569	NaN
20111125	0.0270270276815	0.00495540117845	0.0149402394891	NaN
20111126	0.0222007725388	0.00198216061108	0.016932271421	NaN
20111127	0.0289575289935	0.00495540117845	0.016932271421	NaN
20111128	0.0221793632954	0.00495540117845	0.0179282873869	NaN
20111129	0.031822565943	0.00495540117845	0.0149402394891	NaN
20111130	0.0269749518484	0.0029732408002	0.0129482075572	NaN
20111201	0.0259865261614	0.00693756202236	0.0129611166194	NaN
20111202	0.0240615978837	0.00198216061108	0.0129611166194	NaN
20111203	0.0327237732708	0.0059464816004	0.0169491525739	NaN
20111204	0.0259615387768	0.00396432122216	0.0189243033528	NaN
20111205	0.032692309469	0.00693756202236	0.0219123512507	NaN
20111206	0.0278846155852	0.00396432122216	0.0189243033528	0.0103092783505
20111207	0.0317307710648	0.00892857182771	0.0239043831825	NaN
20111208	0.0240384619683	0.00694444449619	0.0268924310803	NaN
20111209	0.0278846155852	0.00792079232633	0.0268924310803	NaN
20111210	0.026923077181	0.00693069305271	0.0298804789782	NaN
20111211	0.026923077181	0.00693069305271	0.0239043831825	NaN
20111212	0.0134615385905	0.00297029712237	0.0179282873869	NaN
20111213	0.0144230769947	0.00297029712237	0.0119641078636	NaN
20111214	0.0182692315429	0.00396039616317	0.0129611166194	NaN
20111215	0.0230769235641	0.00594059424475	0.0199401788413	NaN
20111216	0.021133525297	0.00396039616317	0.0239520967007	NaN
20111217	0.0268972143531	0.00693069305271	0.024950100109	NaN
20111218	0.0230769235641	0.0059464816004	0.0259481035173	NaN
20111219	0.0298076923937	0.0059464816004	0.0239282157272	NaN
20111220	0.0250000003725	0.00495540117845	0.0268924310803	NaN
20111221	0.026923077181	0.0059464816004	0.0249003991485	NaN
20111222	0.0298076923937	0.00693756202236	0.0189243033528	NaN
20111223	0.0288461539894	0.00496031763032	0.0209163352847	NaN
20111224	0.0250240620226	0.00496524339542	0.0228855721653	NaN
20111225	0.0288739167154	0.00496524339542	0.0189054720104	NaN
20111226	0.0279114525765	0.0039721946232	0.0248508937657	NaN
20111227	0.0298363808542	0.0049701789394	0.0208540223539	NaN
20111228	0.0211742054671	0.00397614296526	0.0268123131245	NaN
20111229	0.0288739167154	0.00398009968922	0.0218470711261	NaN
20111230	0.022136669606	0.00597014930099	0.0228401198983	NaN
20111231	0.0211742054671	0.00497512426227	0.0208540223539	NaN
20120101	0.0240615978837	0.0029850746505	0.0228174608201	NaN
20120102	0.0240615978837	0.00199004984461	0.0208333339542	NaN
20120103	0.0250240620226	0.0029850746505	0.0208333339542	NaN
20120104	0.022136669606	0.00398009968922	0.0188492070884	NaN
20120105	0.022136669606	0.0029850746505	0.0158730167896	NaN
20120106	0.0259865261614	0.00398009968922	0.0168650802225	NaN
20120107	0.0240384619683	0.00398009968922	0.0158730167896	NaN
20120108	0.0288461539894	0.00398009968922	0.0158730167896	NaN
20120109	0.0221153851598	0.00199004984461	0.016881827265	NaN
20120110	0.0278846155852	0.00398009968922	0.0158887784928	NaN
20120111	0.0240615978837	0.00398009968922	0.0178748760372	NaN
20120112	0.0240847785026	0.0029850746505	0.0148957297206	NaN
20120113	0.0221579968929	0.00398009968922	0.0158887784928	NaN
20120114	0.0231213867664	0.0029850746505	0.0139026809484	NaN
20120115	0.0211742054671	0.000995024922304	0.0148957297206	NaN
20120116	0.0231213867664	0.00398009968922	0.0119284298271	NaN
20120117	0.0173410400748	0	0.0109343938529	NaN
20120118	0.0192678235471	0.00199004984461	0.015904571861	NaN
20120119	0.0173410400748	0.00199004984461	0.0119284298271	NaN
20120120	0.0173410400748	0.0029850746505	0.015904571861	NaN
20120121	0.0192678235471	0	0.015904571861	NaN
20120122	0.018304431811	0.00397614296526	0.0149105368182	NaN
20120123	0.0153994224966	0.00298210745677	0.0139165008441	NaN
20120124	0.0173243507743	0.0049701789394	0.0189243033528	NaN
20120125	0.0125120310113	0.00596421491355	0.016932271421	NaN
20120126	0.0163461547345	0.00596421491355	0.0189243033528	NaN
20120127	0.0153846153989	0.00496524339542	0.0199401788413	NaN
20120128	0.0221153851598	0.00595829216763	0.0199401788413	NaN
20120129	0.0134744951501	0.00496031763032	0.0199600793421	NaN
20120130	0.022136669606	0.00496524339542	0.0149700595066	NaN
20120131	0.018304431811	0.00496524339542	0.014955134131	NaN
20120201	0.0231213867664	0.00496031763032	0.0179461613298	NaN
20120202	0.0163934417069	0.00496031763032	0.0169491525739	NaN
20120203	0.0222007725388	0.00496031763032	0.0129611166194	NaN
20120204	0.0173745173961	0.0029732408002	0.0139581253752	NaN
20120205	0.0212355218828	0.0029732408002	0.0169491525739	NaN
20120206	0.0193050187081	0.00198412709869	0.0159521438181	NaN
20120207	0.0250965245068	0.00396825419739	0.0219341982156	NaN
20120208	0.0144787644967	0.00198412709869	0.0179640725255	NaN
20120209	0.0231660231948	0.00396825419739	0.0199600793421	NaN
20120210	0.0144787644967	0.00297914608382	0.0199600793421	NaN
20120211	0.0183397680521	0.00297914608382	0.0169660672545	NaN
20120212	0.0164092667401	0.0019860973116	0.0169491525739	NaN
20120213	0.0221793632954	0.00198807148263	0.0159521438181	NaN
20120214	0.0154291223735	0.00198807148263	0.0179461613298	NaN
