date	funestus_sc_26_arabiensis_sc_102	funestus_sc_65_arabiensis_sc_117	funestus_sc_9_arabiensis_sc_87	observed
20111121	0.5	0.499498486519	0.327363193035	NaN
20111122	0.5	0.505516529083	0.332338303328	NaN
20111123	0.512716174126	0.486973941326	0.325373142958	NaN
20111124	0.507629692554	0.506012022495	0.332669317722	NaN
20111125	0.478658527136	0.522044062614	0.33830845356	NaN
20111126	0.49390244484	0.522567689419	0.321393042803	NaN
20111127	0.504065036774	0.522567689419	0.328358203173	NaN
20111128	0.489837408066	0.525576710701	0.341293543577	NaN
20111129	0.508130073547	0.525576710701	0.337313443422	NaN
20111130	0.4883248806	0.540621876717	0.34726369381	NaN
20111201	0.496446698904	0.546639919281	0.335329353809	NaN
20111202	0.499492377043	0.542627871037	0.331337332725	NaN
20111203	0.510141968727	0.534068107605	0.342315375805	NaN
20111204	0.5	0.513540625572	0.329670339823	NaN
20111205	0.508113563061	0.515546619892	0.331999987364	NaN
20111206	0.489858001471	0.509528577328	0.317999988794	0.463768115942
20111207	0.482758611441	0.509528577328	0.334334343672	NaN
20111208	0.477687627077	0.519558668137	0.319319307804	NaN
20111209	0.483772814274	0.506519556046	0.331331342459	NaN
20111210	0.468559831381	0.503510534763	0.3183183074	NaN
20111211	0.488843798637	0.495486468077	0.315631270409	NaN
20111212	0.236308321357	0.277833491564	0.159318640828	NaN
20111213	0.239350914955	0.260782361031	0.173346698284	NaN
20111214	0.225152134895	0.251755267382	0.171342685819	NaN
20111215	0.227180525661	0.271815448999	0.171514540911	NaN
20111216	0.219066932797	0.282848536968	0.168505519628	NaN
20111217	0.228194728494	0.276830494404	0.187562689185	NaN
20111218	0.223123729229	0.289156615734	0.187562689185	NaN
20111219	0.23427991569	0.280120491982	0.184553667903	NaN
20111220	0.237322509289	0.288442224264	0.178535610437	NaN
20111221	0.240365117788	0.307537674904	0.179718881846	NaN
20111222	0.233502537012	0.299497485161	0.179718881846	NaN
20111223	0.240609139204	0.293467342854	0.177889451384	NaN
20111224	0.232487305999	0.282412052154	0.183734938502	NaN
20111225	0.22944162786	0.290744453669	0.185742974281	NaN
20111226	0.239837393165	0.276659965515	0.191767066717	NaN
20111227	0.238821133971	0.282696187496	0.188755020499	NaN
20111228	0.238821133971	0.271629780531	0.194779112935	NaN
20111229	0.243902444839	0.270623743534	0.201807230711	NaN
20111230	0.248983740807	0.273641854525	0.197791159153	NaN
20111231	0.258130073547	0.263581484556	0.211847394705	NaN
20120101	0.255081295967	0.281690150499	0.20381526649	NaN
20120102	0.25304877758	0.276659965515	0.208835348487	NaN
20120103	0.25304877758	0.262311547995	0.209839358926	NaN
20120104	0.251016259193	0.272361814976	0.215863451362	NaN
20120105	0.273373991251	0.278112441301	0.210843369365	NaN
20120106	0.269308954477	0.272088348865	0.214859440923	NaN
20120107	0.263211369515	0.280120491982	0.225903615355	NaN
20120108	0.275406509638	0.28112450242	0.222891569138	NaN
20120109	0.290355324745	0.290872603655	0.224674016237	NaN
20120110	0.296446710825	0.295887649059	0.240722164512	NaN
20120111	0.297461926937	0.272818446159	0.236710131168	NaN
20120112	0.311675131321	0.287575155497	0.246987953782	NaN
20120113	0.312690347433	0.28557112813	0.239959836006	NaN
20120114	0.315736055374	0.292292296886	0.247991964221	NaN
20120115	0.326903551817	0.293000012636	0.238955825567	NaN
20120116	0.32487308979	0.284000009298	0.248995989561	NaN
20120117	0.328934013844	0.294999986887	0.254016071558	NaN
20120118	0.335025370121	0.294999986887	0.248995989561	NaN
20120119	0.341116756201	0.289999991655	0.247991964221	NaN
20120120	0.345177650452	0.289999991655	0.267068266869	NaN
20120121	0.335365861654	0.290290296078	0.26606425643	NaN
20120122	0.351269036531	0.290872603655	0.244979918003	NaN
20120123	0.346855998039	0.302908718586	0.265060245991	NaN
20120124	0.36206895113	0.303212851286	0.254016071558	NaN
20120125	0.376267760992	0.312249004841	0.27911645174	NaN
20120126	0.371196746826	0.325301200151	0.269809424877	NaN
20120127	0.380324542522	0.32831326127	0.295887649059	NaN
20120128	0.380324542522	0.327309250832	0.285140573978	NaN
20120129	0.397565931082	0.32831326127	0.288152605295	NaN
20120130	0.391480743885	0.339357435703	0.290160655975	NaN
20120131	0.382352948189	0.3443775177	0.302208840847	NaN
20120201	0.400608509779	0.343373507261	0.320281118154	NaN
20120202	0.406693726778	0.354417681694	0.333333343267	NaN
20120203	0.403651118278	0.340361446142	0.333333343267	NaN
20120204	0.406091362238	0.351053148508	0.354417681694	NaN
20120205	0.417258888483	0.359077244997	0.350401610136	NaN
20120206	0.406091362238	0.37412238121	0.356425702572	NaN
20120207	0.412182748318	0.369107335806	0.34974873066	NaN
20120208	0.398984760046	0.37512537837	0.369849234819	NaN
20120209	0.405487805605	0.370110332966	0.36482411623	NaN
20120210	0.406504064798	0.370110332966	0.376884430647	NaN
20120211	0.405487805605	0.373493969441	0.377889454365	NaN
20120212	0.411585360766	0.377510040998	0.377510040998	NaN
20120213	0.38984772563	0.357429713011	0.39156627655	NaN
20120214	0.394308954477	0.365461856127	0.390562236309	NaN
20120215	0.379065036774	0.356425702572	0.395582318306	NaN
20120216	0.407520323992	0.343373507261	0.40763053298	NaN
20120217	0.402439028025	0.361809045076	0.396984934807	NaN
20120218	0.404471546412	0.34472361207	0.414486914873	NaN
20120219	0.395325213671	0.356425702572	0.416498988867	NaN
20120220	0.407520323992	0.355421692133	0.431589543819	NaN
20120221	0.397969543934	0.354417681694	0.420523136854	NaN
20120222	0.402030467987	0.359437763691	0.425553321838	NaN
