date	funestus_sc_0.3_arabiensis_sc_3.5	funestus_sc_3_arabiensis_sc_4	funestus_sc_1.5_arabiensis_sc_2.5	observed
20111121	0.0030272451695	0.0487329438329	0.00707070715725	NaN
20111122	0.0030272451695	0.0448343083262	0.0060606058687	NaN
20111123	0.0030272451695	0.0516569204629	0.0060606058687	NaN
20111124	0.00504540884867	0.0438596494496	0.00403225794434	NaN
20111125	0.00504540884867	0.0506329126656	0.00806451588869	NaN
20111126	0.00403632689267	0.0438169427216	0.00604838691652	NaN
20111127	0.0060606058687	0.048685491085	0.0070564514026	NaN
20111128	0.00202224473469	0.0467380732298	0.00604838691652	NaN
20111129	0.00505561195314	0.0457643605769	0.00604838691652	NaN
20111130	0.00505561195314	0.0389105044305	0.00403225794434	NaN
20111201	0.00505561195314	0.0476653687656	0.00805639475584	NaN
20111202	0.00404040422291	0.0418287925422	0.00201409868896	NaN
20111203	0.00303030293435	0.0398832671344	0.00704934541136	NaN
20111204	0.00404040422291	0.0350194536149	0.00100704934448	NaN
20111205	0.0050505050458	0.0379746817052	0.00704934541136	NaN
20111206	0.0050505050458	0.0389483943582	0.00402819737792	NaN
20111207	0.00707070715725	0.042843233794	0.00604229606688	NaN
20111208	0.00202020211145	0.0340798459947	0.0050352467224	NaN
20111209	0.0050505050458	0.0448343083262	0.00402819737792	NaN
20111210	0.00202020211145	0.0380116961896	0.00402414472774	NaN
20111211	0.0060606058687	0.0457643605769	0.00603621732444	NaN
20111212	0.00403632689267	0.042843233794	0.00503018125892	NaN
20111213	0.00706357229501	0.0399221032858	0.00603621732444	NaN
20111214	0.00605449033901	0.0447906516492	0.00704225338995	NaN
20111215	0.0110998991877	0.0506329126656	0.0120724346489	NaN
20111216	0.0100908176974	0.0496592000127	0.0150905428454	NaN
20111217	0.0171543899924	0.0506329126656	0.0191146880388	NaN
20111218	0.0151362260804	0.0554474703968	0.0160965789109	NaN
20111219	0.0161453075707	0.0496108941734	0.0211267601699	NaN
20111220	0.0131180621684	0.0485908649862	0.0171026159078	NaN
20111221	0.01412714459	0.0612244904041	0.0191146880388	NaN
20111222	0.012108980678	0.0495626814663	0.0140845067799	NaN
20111223	0.0141129028052	0.0515063181519	0.0191146880388	NaN
20111224	0.012096773833	0.0495626814663	0.0120724346489	NaN
20111225	0.0131048383191	0.0524271838367	0.0160965789109	NaN
20111226	0.0131048383191	0.0485436879098	0.018108651042	NaN
20111227	0.0131048383191	0.051456309855	0.0150905428454	NaN
20111228	0.012096773833	0.0504854358733	0.0140845067799	NaN
20111229	0.0131048383191	0.0475728139281	0.0171026159078	NaN
20111230	0.0120724346489	0.0495145618916	0.0160965789109	NaN
20111231	0.0120724346489	0.051456309855	0.018108651042	NaN
20120101	0.0120724346489	0.0407766997814	0.0150905428454	NaN
20120102	0.0120724346489	0.047619048506	0.0180904529989	NaN
20120103	0.0120724346489	0.0408163256943	0.0160804018378	NaN
20120104	0.0130784707144	0.0495626814663	0.0170854274184	NaN
20120105	0.0120724346489	0.038872692734	0.0150753771886	NaN
20120106	0.0130784707144	0.0457198433578	0.0160965789109	NaN
20120107	0.0110775427893	0.0428015552461	0.0150753771886	NaN
20120108	0.0120845921338	0.0486381314695	0.0160804018378	NaN
20120109	0.0110775427893	0.0476653687656	0.0150753771886	NaN
20120110	0.0110775427893	0.0515564195812	0.0180904529989	NaN
20120111	0.0110775427893	0.0428015552461	0.0150753771886	NaN
20120112	0.0110775427893	0.0447470806539	0.0160804018378	NaN
20120113	0.0100704934448	0.0359922163189	0.0140845067799	NaN
20120114	0.0110775427893	0.0476653687656	0.018108651042	NaN
20120115	0.00906344410032	0.0379377417266	0.0150905428454	NaN
20120116	0.0100704934448	0.0456754118204	0.0150905428454	NaN
20120117	0.00905432552099	0.0398445092142	0.0130784707144	NaN
20120118	0.00906344410032	0.0417881421745	0.0130784707144	NaN
20120119	0.0050352467224	0.0379008762538	0.00704225338995	NaN
20120120	0.00905432552099	0.047619048506	0.0100603625178	NaN
20120121	0.00804828945547	0.0437317788601	0.00804020091891	NaN
20120122	0.0100603625178	0.0456754118204	0.0160804018378	NaN
20120123	0.0100603625178	0.038872692734	0.0110552767292	NaN
20120124	0.0100603625178	0.0524781346321	0.0140703516081	NaN
20120125	0.00806451588869	0.0485908649862	0.0130522092804	NaN
20120126	0.0100603625178	0.0437317788601	0.0120481923223	NaN
20120127	0.00603621732444	0.0446601957083	0.0130522092804	NaN
20120128	0.00905432552099	0.0495145618916	0.0130522092804	NaN
20120129	0.00904522649944	0.0446168780327	0.0130522092804	NaN
20120130	0.00803212821484	0.0436469465494	0.0130653269589	NaN
20120131	0.00803212821484	0.0484966039658	0.0120603013784	NaN
20120201	0.00903614424169	0.0475266724825	0.0150753771886	NaN
20120202	0.00804020091891	0.0426770113409	0.0120724346489	NaN
20120203	0.0120603013784	0.0426770113409	0.0150905428454	NaN
20120204	0.00904522649944	0.0426770113409	0.0130784707144	NaN
20120205	0.0100502511486	0.0446168780327	0.0150905428454	NaN
20120206	0.0100502511486	0.0446168780327	0.0120724346489	NaN
20120207	0.0120361084119	0.0475266724825	0.0161127895117	NaN
20120208	0.00902708154172	0.039767216891	0.0140986908227	NaN
20120209	0.0120481923223	0.0475266724825	0.0181268882006	NaN
20120210	0.00903614424169	0.0407371483743	0.0151209672913	NaN
20120211	0.0160481445491	0.0455868095159	0.0211693551391	NaN
20120212	0.00902708154172	0.0446168780327	0.0171370971948	NaN
20120213	0.0140421260148	0.0427184477449	0.0171543899924	NaN
