date	min_prevalence	average_prevalence	max_prevalence	avg_itn_hh
20431223	0.0	0.0304000808832	1.0	NaN
20431224	0.0	0.0314538132248	1.0	NaN
20431225	0.0	0.037313690988	1.0	NaN
20431226	0.0	0.0273675839794	1.0	NaN
20431227	0.0	0.0294348299755	1.0	NaN
20431228	0.0	0.0299777836111	1.0	NaN
20431229	0.0	0.0313276724034	1.0	NaN
20431230	0.0	0.0270015931109	1.0	NaN
20431231	0.0	0.0285446539244	1.0	NaN
20440101	0.0	0.0259802419994	1.0	NaN
20440102	0.0	0.0287820291957	1.0	NaN
20440103	0.0	0.0225320291152	1.0	NaN
20440104	0.0	0.0276285965952	1.0	NaN
20440105	0.0	0.028399744436	1.0	NaN
20440106	0.0	0.0267523208482	1.0	NaN
20440107	0.0	0.024640980894	1.0	NaN
20440108	0.0	0.0249223659268	1.0	NaN
20440109	0.0	0.0264204860086	1.0	NaN
20440110	0.0	0.0257468510897	1.0	NaN
20440111	0.0	0.0278737250011	1.0	NaN
20440112	0.0	0.0272314430819	1.0	NaN
20440113	0.0	0.0277703748764	1.0	NaN
20440114	0.0	0.0265580765853	1.0	NaN
20440115	0.0	0.0276091276744	1.0	NaN
20440116	0.0	0.0298409176537	1.0	NaN
20440117	0.0	0.0293577983472	1.0	NaN
20440118	0.0	0.0337300746626	1.0	NaN
20440119	0.0	0.0328672705218	1.0	NaN
20440120	0.0	0.0308648685396	1.0	NaN
20440121	0.0	0.032160266441	1.0	NaN
20440122	0.0	0.0343352562899	1.0	NaN
20440123	0.0	0.0338078962161	1.0	NaN
20440124	0.0	0.0371036496315	1.0	NaN
20440125	0.0	0.0317379691185	1.0	NaN
20440126	0.0	0.0365089054496	1.0	NaN
20440127	0.0	0.0369382587488	1.0	NaN
20440128	0.0	0.0323244385497	1.0	NaN
20440129	0.0	0.0304475618098	1.0	NaN
20440130	0.0	0.0366913526873	1.0	NaN
20440131	0.0	0.0310178220121	1.0	NaN
20440201	0.0	0.0327590517196	1.0	NaN
20440202	0.0	0.034235325214	1.0	NaN
20440203	0.0	0.0315487099862	1.0	NaN
20440204	0.0	0.0294774422372	1.0	NaN
20440205	0.0	0.0356295765755	1.0	NaN
20440206	0.0	0.0320514448591	1.0	NaN
20440207	0.0	0.0348252007687	1.0	NaN
20440208	0.0	0.0306625559272	1.0	NaN
20440209	0.0	0.0316536508098	1.0	NaN
20440210	0.0	0.0305177681903	1.0	NaN
20440211	0.0	0.0330814178026	1.0	NaN
20440212	0.0	0.0323246044635	1.0	NaN
20440213	0.0	0.0354728890029	1.0	NaN
20440214	0.0	0.0326213768457	1.0	NaN
20440215	0.0	0.0335786682679	1.0	NaN
20440216	0.0	0.0327420332091	1.0	NaN
20440217	0.0	0.0336800621621	1.0	NaN
20440218	0.0	0.0323593389444	1.0	NaN
20440219	0.0	0.0315322944441	1.0	NaN
20440220	0.0	0.0287275821273	1.0	NaN
20440221	0.0	0.0311059752429	1.0	NaN
20440222	0.0	0.0282650661177	1.0	NaN
20440223	0.0	0.0317293664289	1.0	NaN
20440224	0.0	0.0280631253294	1.0	NaN
20440225	0.0	0.0304857589984	1.0	NaN
20440226	0.0	0.0295922860654	1.0	NaN
20440227	0.0	0.0276634528528	1.0	NaN
20440228	0.0	0.0301640334514	1.0	NaN
20440229	0.0	0.0278566092303	1.0	NaN
20440301	0.0	0.0296465517651	1.0	NaN
20440302	0.0	0.0307409966213	1.0	NaN
20440303	0.0	0.0266571611267	1.0	NaN
20440304	0.0	0.0277625373187	1.0	NaN
20440305	0.0	0.028505244393	1.0	NaN
