date	funestus_sc_1.75_arabiensis_sc_2	funestus_sc_0.1_arabiensis_sc_1.75	funestus_sc_1.75_arabiensis_sc_2	observed
20111121	0.00779727101326	0.0184108521789	0.00779727101326	NaN
20111122	0.00292397662997	0.0125968996435	0.00292397662997	NaN
20111123	0.00487329438329	0.018428709358	0.00487329438329	NaN
20111124	0.00292397662997	0.0135790491477	0.00292397662997	NaN
20111125	0.00584795325994	0.0155189139769	0.00584795325994	NaN
20111126	0.00584795325994	0.0106796119362	0.00584795325994	NaN
20111127	0.00877192988992	0.0106796119362	0.00877192988992	NaN
20111128	0.00292397662997	0.0116618080065	0.00292397662997	NaN
20111129	0.00779727101326	0.0126336244866	0.00779727101326	NaN
20111130	0.00389863550663	0.0116618080065	0.00389863550663	NaN
20111201	0.00779727101326	0.0145772593096	0.00779727101326	NaN
20111202	0.0068226121366	0.00874635577202	0.0068226121366	NaN
20111203	0.00878048781306	0.0116731515154	0.00878048781306	NaN
20111204	0.00487804878503	0.00486381305382	0.00487804878503	NaN
20111205	0.0078125	0.015564202331	0.0078125	NaN
20111206	0.00586510263383	0.00583657575771	0.00586510263383	0.0375
20111207	0.00978473573923	0.0136186769232	0.00978473573923	NaN
20111208	0.00587084144354	0.00680933846161	0.00587084144354	NaN
20111209	0.00782778859139	0.00875486340374	0.00782778859139	NaN
20111210	0.00587084144354	0.00680933846161	0.00587084144354	NaN
20111211	0.00782778859139	0.00875486340374	0.00782778859139	NaN
20111212	0.00391389429569	0.00486381305382	0.00391389429569	NaN
20111213	0.00684261973947	0.00680272094905	0.00684261973947	NaN
20111214	0.00585365854204	0.00583090400323	0.00585365854204	NaN
20111215	0.0107317073271	0.00972762610763	0.0107317073271	NaN
20111216	0.0117073170841	0.00972762610763	0.0117073170841	NaN
20111217	0.0195121951401	0.0126213589683	0.0195121951401	NaN
20111218	0.0175609756261	0.0106796119362	0.0175609756261	NaN
20111219	0.0204678364098	0.0097181731835	0.0204678364098	NaN
20111220	0.0185185186565	0.0126336244866	0.0185185186565	NaN
20111221	0.0185185186565	0.010689990595	0.0185185186565	NaN
20111222	0.0136452242732	0.0116504849866	0.0136452242732	NaN
20111223	0.0165692009032	0.0136054418981	0.0165692009032	NaN
20111224	0.0136452242732	0.0116845183075	0.0136452242732	NaN
20111225	0.0155945420265	0.0136319380254	0.0155945420265	NaN
20111226	0.0165692009032	0.0107108084485	0.0165692009032	NaN
20111227	0.0146198831499	0.0126582281664	0.0146198831499	NaN
20111228	0.0155793577433	0.0136319380254	0.0155793577433	NaN
20111229	0.0146056478843	0.0126582281664	0.0146056478843	NaN
20111230	0.0136452242732	0.0146056478843	0.0136452242732	NaN
20111231	0.0146198831499	0.0146056478843	0.0146198831499	NaN
20120101	0.0136319380254	0.0155793577433	0.0136319380254	NaN
20120102	0.0126582281664	0.015564202331	0.0126582281664	NaN
20120103	0.0116845183075	0.0146056478843	0.0116845183075	NaN
20120104	0.0116845183075	0.0185004863888	0.0116845183075	NaN
20120105	0.0126582281664	0.015564202331	0.0126582281664	NaN
20120106	0.0126582281664	0.0145772593096	0.0126582281664	NaN
20120107	0.0126582281664	0.017492711544	0.0126582281664	NaN
20120108	0.0136319380254	0.017492711544	0.0136319380254	NaN
20120109	0.0126705653965	0.0145772593096	0.0126705653965	NaN
20120110	0.0126582281664	0.0165048539638	0.0126582281664	NaN
20120111	0.0126705653965	0.0165369641036	0.0126705653965	NaN
20120112	0.0155945420265	0.0145914396271	0.0155945420265	NaN
20120113	0.0126705653965	0.0184824895114	0.0126705653965	NaN
20120114	0.0146056478843	0.015564202331	0.0146056478843	NaN
20120115	0.0107108084485	0.0165530666709	0.0107108084485	NaN
20120116	0.0126582281664	0.0155793577433	0.0126582281664	NaN
20120117	0.00974658876658	0.00973709858954	0.00974658876658	NaN
20120118	0.0155945420265	0.0126582281664	0.0155945420265	NaN
20120119	0.00779727101326	0.00974658876658	0.00779727101326	NaN
20120120	0.00877192988992	0.0126705653965	0.00877192988992	NaN
20120121	0.00877192988992	0.0068226121366	0.00877192988992	NaN
20120122	0.0116959065199	0.0107212476432	0.0116959065199	NaN
20120123	0.00682926829904	0.00779727101326	0.00682926829904	NaN
20120124	0.0126829268411	0.0116959065199	0.0126829268411	NaN
20120125	0.00878048781306	0.00779727101326	0.00878048781306	NaN
20120126	0.0126705653965	0.0126705653965	0.0126705653965	NaN
20120127	0.0107212476432	0.0126705653965	0.0107212476432	NaN
20120128	0.0117073170841	0.0116959065199	0.0117073170841	NaN
20120129	0.0107212476432	0.00779727101326	0.0107212476432	NaN
20120130	0.0116959065199	0.0107212476432	0.0116959065199	NaN
20120131	0.0107212476432	0.00878048781306	0.0107212476432	NaN
20120201	0.0155945420265	0.0107317073271	0.0155945420265	NaN
20120202	0.0107317073271	0.0107317073271	0.0107317073271	NaN
20120203	0.0126705653965	0.00975609757006	0.0126705653965	NaN
20120204	0.0116959065199	0.00877192988992	0.0116959065199	NaN
20120205	0.0136452242732	0.00973709858954	0.0136452242732	NaN
20120206	0.00877192988992	0.00973709858954	0.00877192988992	NaN
20120207	0.0116959065199	0.0116618080065	0.0116959065199	NaN
20120208	0.00974658876658	0.00874635577202	0.00974658876658	NaN
20120209	0.0107108084485	0.00777453836054	0.0107108084485	NaN
20120210	0.00778967887163	0.00583090400323	0.00778967887163	NaN
20120211	0.0126705653965	0.00972762610763	0.0126705653965	NaN
20120212	0.00877192988992	0.00583657575771	0.00877192988992	NaN
20120213	0.00877192988992	0.0077821011655	0.00877192988992	NaN
