date	funestus_sc_0.3_arabiensis_sc_1.25	funestus_sc_0.05_arabiensis_sc_1.75	funestus_sc_0.3_arabiensis_sc_1.25	observed
20111121	0.00398009968922	0.0179282873869	0.00398009968922	NaN
20111122	0	0.016932271421	0	NaN
20111123	0.00398009968922	0.0199401788413	0.00398009968922	NaN
20111124	0.00199004984461	0.0169491525739	0.00199004984461	NaN
20111125	0.00398009968922	0.0169491525739	0.00398009968922	NaN
20111126	0.0029850746505	0.0149700595066	0.0029850746505	NaN
20111127	0.00398009968922	0.0179820172489	0.00398009968922	NaN
20111128	0.0029850746505	0.0149850146845	0.0029850746505	NaN
20111129	0.00398009968922	0.0209790207446	0.00398009968922	NaN
20111130	0.0029850746505	0.0119880121201	0.0029850746505	NaN
20111201	0.00497512426227	0.018981019035	0.00497512426227	NaN
20111202	0.00398009968922	0.0139860138297	0.00398009968922	NaN
20111203	0.0029850746505	0.0120000001043	0.0029850746505	NaN
20111204	0.00199004984461	0.0120000001043	0.00199004984461	NaN
20111205	0.00398009968922	0.0179999992251	0.00398009968922	NaN
20111206	0.0029850746505	0.0109999999404	0.0029850746505	0.0242718446602
20111207	0.00298804789782	0.0179820172489	0.00298804789782	NaN
20111208	0.000996015965939	0.0129870129749	0.000996015965939	NaN
20111209	0.0029850746505	0.0169830173254	0.0029850746505	NaN
20111210	0.000995024922304	0.0109890112653	0.000995024922304	NaN
20111211	0.000995024922304	0.0169830173254	0.000995024922304	NaN
20111212	0	0.00399600388482	0	NaN
20111213	0	0.00999999977648	0	NaN
20111214	0.00198807148263	0.00800000037998	0.00198807148263	NaN
20111215	0.0049701789394	0.018981019035	0.0049701789394	NaN
20111216	0.00695825042203	0.0189999993891	0.00695825042203	NaN
20111217	0.0119284298271	0.0230000000447	0.0119284298271	NaN
20111218	0.0109343938529	0.0209999997169	0.0109343938529	NaN
20111219	0.0119284298271	0.0209999997169	0.0119284298271	NaN
20111220	0.0119284298271	0.0179999992251	0.0119284298271	NaN
20111221	0.0109343938529	0.019999999553	0.0109343938529	NaN
20111222	0.0099403578788	0.019999999553	0.0099403578788	NaN
20111223	0.0099403578788	0.0219999998808	0.0099403578788	NaN
20111224	0.0099403578788	0.0199800208211	0.0099403578788	NaN
20111225	0.0099403578788	0.0219780225307	0.0099403578788	NaN
20111226	0.0099403578788	0.0179820172489	0.0099403578788	NaN
20111227	0.0099403578788	0.0219780225307	0.0099403578788	NaN
20111228	0.0099403578788	0.0179820172489	0.0099403578788	NaN
20111229	0.0099403578788	0.0230000000447	0.0099403578788	NaN
20111230	0.0099403578788	0.0189999993891	0.0099403578788	NaN
20111231	0.0099403578788	0.0240000002086	0.0099403578788	NaN
20120101	0.0099403578788	0.0200400799513	0.0099403578788	NaN
20120102	0.0099403578788	0.0220220219344	0.0099403578788	NaN
20120103	0.0109343938529	0.0189999993891	0.0109343938529	NaN
20120104	0.0109343938529	0.019999999553	0.0109343938529	NaN
20120105	0.0099403578788	0.0179820172489	0.0099403578788	NaN
20120106	0.0109343938529	0.0209790207446	0.0109343938529	NaN
20120107	0.00894632190466	0.0159840155393	0.00894632190466	NaN
20120108	0.0109235355631	0.0199401788413	0.0109235355631	NaN
20120109	0.00993048679084	0.0169491525739	0.00993048679084	NaN
20120110	0.0109235355631	0.0199600793421	0.0109235355631	NaN
20120111	0.0099403578788	0.0169660672545	0.0099403578788	NaN
20120112	0.0109343938529	0.0179640725255	0.0109343938529	NaN
20120113	0.0099403578788	0.0139720560983	0.0099403578788	NaN
