date	New Diagnostic Prevalence	Infected
20140622	0.015033407	0.033407573
20140623	0.013355592	0.033388983
20140624	0.016694492	0.0328325
20140625	0.015581525	0.032276016
20140626	0.016146993	0.0311804
20140627	0.016694492	0.03116305
20140628	0.015581525	0.03116305
20140629	0.017807458	0.03116305
20140630	0.013355592	0.03116305
20140701	0.016138008	0.030606566
20140702	0.016138008	0.030606566
20140703	0.016138008	0.030606566
20140704	0.016138008	0.030050084
20140705	0.014460512	0.03003337
20140706	0.012784881	0.030016676
20140707	0.016666668	0.029444445
20140708	0.013333334	0.029444445
20140709	0.012222222	0.029444445
20140710	0.014444444	0.029444445
20140711	0.010005559	0.028904947
20140712	0.011117287	0.028904947
20140713	0.010567297	0.028921023
20140714	0.011123471	0.028921023
20140715	0.007786429	0.028921023
20140716	0.008342603	0.028921023
20140717	0.00945495	0.028921023
20140718	0.00889383	0.028349083
20140719	0.006670373	0.028349083
20140720	0.007226237	0.028349083
20140721	0.007222222	0.028333334
20140722	0.007222222	0.027777778
20140723	0.010555555	0.027777778
20140724	0.01	0.027777778
20140725	0.008333334	0.027777778
20140726	0.010561423	0.027793219
20140727	0.010005559	0.027793219
20140728	0.010561423	0.027793219
20140729	0.010561423	0.027793219
20140730	0.011117287	0.027793219
20140731	0.010005559	0.027793219
20140801	0.012229016	0.027793219
20140802	0.011673152	0.027793219
20140803	0.011123471	0.027808676
20140804	0.012235817	0.027808676
20140805	0.012235817	0.027808676
20140806	0.013348165	0.027808676
20140807	0.013355592	0.027824152
20140808	0.012242626	0.027267668
20140809	0.012799109	0.027267668
20140810	0.012242626	0.027267668
20140811	0.014468559	0.027267668
20140812	0.013355592	0.027267668
20140813	0.016129032	0.027252503
20140814	0.011123471	0.027252503
20140815	0.013348165	0.02669633
20140816	0.008898776	0.02669633
20140817	0.011679644	0.02669633
20140818	0.011129661	0.026154703
20140819	0.012799109	0.026154703
20140820	0.010573178	0.026154703
20140821	0.013355592	0.026154703
20140822	0.012242626	0.026154703
20140823	0.010573178	0.026154703
20140824	0.008903729	0.026154703
20140825	0.011129661	0.026154703
20140826	0.006121313	0.026154703
20140827	0.006677796	0.026154703
20140828	0.005561735	0.026140155
20140829	0.006114508	0.025569761
20140830	0.005555556	0.025555555
20140831	0.005	0.025
20140901	0.006666667	0.025
20140902	0.005	0.025
20140903	0.007777778	0.025
20140904	0.007226237	0.025013896
20140905	0.007226237	0.024458032
20140906	0.006114508	0.023346303
20140907	0.007222222	0.023333333
20140908	0.005552471	0.023320377
20140909	0.008879024	0.023307437
20140910	0.007769146	0.023307437
20140911	0.007214206	0.023307437
20140912	0.007214206	0.023307437
20140913	0.008874099	0.023294508
20140914	0.009988901	0.023307437
20140915	0.007769146	0.022197558
20140916	0.008883953	0.022209883
20140917	0.006662965	0.022209883
20140918	0.008883953	0.022209883
20140919	0.010549694	0.022209883
20140920	0.009433962	0.02164262
20140921	0.008324085	0.02164262
20140922	0.009988901	0.02164262
20140923	0.009433962	0.02164262
20140924	0.011098779	0.02164262
20140925	0.008328706	0.021099389
20140926	0.009994447	0.021099389
20140927	0.010011123	0.021134594
20140928	0.00945495	0.021134594
20140929	0.010011123	0.021134594
20140930	0.010016695	0.021146355
20141001	0.009460212	0.020589871
20141002	0.007786429	0.02057842
20141003	0.006674082	0.02057842
20141004	0.008898776	0.02057842
20141005	0.007782101	0.020566981
20141006	0.010005559	0.020566981
20141007	0.007782101	0.020011118
20141008	0.00945495	0.019466074
20141009	0.004449388	0.019466074
20141010	0.00723428	0.019476905
20141011	0.006677796	0.019476905
20141012	0.006124721	0.01948775
20141013	0.005011136	0.01948775
20141014	0.005567929	0.01948775
20141015	0.00556483	0.019476905
20141016	0.003338898	0.019476905
20141017	0.003891051	0.019455252
20141018	0.003335186	0.019455252
20141019	0.003335186	0.020566981
20141020	0.003335186	0.02167871
20141021	0.004446915	0.02167871
20141022	0.003891051	0.02167871
20141023	0.007782101	0.02167871
20141024	0.006674082	0.021690767
20141025	0.005561735	0.021690767
20141026	0.007226237	0.02167871
20141027	0.006111111	0.021666666
20141028	0.007210205	0.022739878
20141029	0.004437049	0.022739878
20141030	0.007210205	0.022739878
20141031	0.006104329	0.023307437
20141101	0.008324085	0.023307437
20141102	0.004439512	0.023862375
20141103	0.007214206	0.023862375
20141104	0.006104329	0.023307437
20141105	0.008324085	0.023862375
20141106	0.007214206	0.024417315
20141107	0.006104329	0.024417315
20141108	0.008883953	0.024430871
20141109	0.007773459	0.024430871
20141110	0.008328706	0.024430871
20141111	0.009444444	0.024444444
20141112	0.008888889	0.025
20141113	0.007218212	0.024986118
20141114	0.008888889	0.025
20141115	0.012229016	0.025013896
20141116	0.009449694	0.025013896
20141117	0.010005559	0.024458032
20141118	0.010005559	0.024458032
20141119	0.010011123	0.024471635
20141120	0.009460212	0.024485253
20141121	0.009460212	0.024485253
20141122	0.008351893	0.024498885
20141123	0.010016695	0.024485253
20141124	0.007786429	0.024471635
20141125	0.008342603	0.024471635
20141126	0.00889383	0.024458032
20141127	0.006670373	0.024458032
20141128	0.005558643	0.023902168
20141129	0.008337965	0.023346303
20141130	0.007230256	0.023359288
20141201	0.008898776	0.022803115
20141202	0.001668521	0.022803115
20141203	0.001668521	0.022803115
20141204	0.002224694	0.022246942
20141205	0.001668521	0.022246942
20141206	0.001668521	0.02057842
20141207	0.002224694	0.02057842
20141208	0.002780868	0.0189099
20141209	0.001668521	0.019466074
20141210	0.002224694	0.0189099
20141211	0.002224694	0.0189099
20141212	0.002224694	0.014460512
20141213	0.002783964	0.012806236
20141214	0.003338898	0.013355592
20141215	0.001669449	0.013912076
20141216	0.002780868	0.014460512
20141217	0.001668521	0.014460512
20141218	0.002782415	0.014468559
20141219	0.001669449	0.015581525
20141220	0.002782415	0.015581525
20141221	0.002782415	0.016138008
20141222	0.002780868	0.016129032
20141223	0.003335186	0.016120067
20141224	0.003333333	0.017777778
20141225	0.004444445	0.017777778
20141226	0.003333333	0.017777778
20141227	0.005549389	0.017758047
20141228	0.003329634	0.017758047
20141229	0.004994451	0.017758047
20141230	0.005552471	0.017767906
