date	funestus_sc_1.5_arabiensis_sc_6	funestus_sc_2_arabiensis_sc_6.5	funestus_sc_3_arabiensis_sc_62	observed
20111121	0.092864125967	0.157000005245	0.161665052176	NaN
20111122	0.0948191583157	0.158000007272	0.181994184852	NaN
20111123	0.0948191583157	0.15184815228	0.176015466452	NaN
20111124	0.0909090936184	0.155844151974	0.176982596517	NaN
20111125	0.0997067466378	0.155844151974	0.171179890633	NaN
20111126	0.092864125967	0.166833162308	0.175048351288	NaN
20111127	0.0948191583157	0.147852152586	0.155706003308	NaN
20111128	0.0948191583157	0.170829176903	0.170212760568	NaN
20111129	0.092864125967	0.177822172642	0.170212760568	NaN
20111130	0.0977517142892	0.168662667274	0.1586073488	NaN
20111201	0.102639295161	0.164670661092	0.157640233636	NaN
20111202	0.0967741906643	0.170829176903	0.15942029655	NaN
20111203	0.1025390625	0.172827169299	0.139130428433	NaN
20111204	0.091796875	0.164835169911	0.157335907221	NaN
20111205	0.1005859375	0.169830173254	0.155405402183	NaN
20111206	0.0966796875	0.164835169911	0.142719388008	NaN
20111207	0.09765625	0.168831169605	0.152215793729	NaN
20111208	0.0947265625	0.169830173254	0.154142588377	NaN
20111209	0.0995121970773	0.162837162614	0.153179183602	NaN
20111210	0.0995121970773	0.164835169911	0.170520231128	NaN
20111211	0.1044921875	0.160678640008	0.143545284867	NaN
20111212	0.0694037154317	0.101898103952	0.0963391140103	NaN
20111213	0.0733855217695	0.0989011004567	0.101156070828	NaN
20111214	0.0772994160652	0.103896103799	0.103082850575	NaN
20111215	0.0821917802095	0.100899100304	0.105973027647	NaN
20111216	0.0724070444703	0.0969031006098	0.116458132863	NaN
20111217	0.0831702575087	0.104895107448	0.116458132863	NaN
20111218	0.0880626216531	0.102897100151	0.122232913971	NaN
20111219	0.0950048938394	0.0929070934653	0.12897016108	NaN
20111220	0.0870841518045	0.106893107295	0.115495666861	NaN
20111221	0.0919765159488	0.103000000119	0.12127045542	NaN
20111222	0.0939334630966	0.11100000143	0.113680154085	NaN
20111223	0.103718198836	0.104000002146	0.115606933832	NaN
20111224	0.0938416421413	0.105999998748	0.115495666861	NaN
20111225	0.0949119403958	0.102102100849	0.117420598865	NaN
20111226	0.0988258346915	0.106106102467	0.108653843403	NaN
20111227	0.0988258346915	0.10230691731	0.11249999702	NaN
20111228	0.0978473573923	0.111445784569	0.117307692766	NaN
20111229	0.0900195688009	0.0973895564675	0.121153846383	NaN
20111230	0.0861056745052	0.107429720461	0.118269227445	NaN
20111231	0.0861056745052	0.100401610136	0.110576920211	NaN
20120101	0.0831702575087	0.105421684682	0.11249999702	NaN
20120102	0.0831702575087	0.106425702572	0.119230769575	NaN
20120103	0.0791788846254	0.103413656354	0.108653843403	NaN
20120104	0.0840664729476	0.104417674243	0.109615385532	NaN
20120105	0.0840664729476	0.110552765429	0.101923078299	NaN
20120106	0.0850439891219	0.101507537067	0.108758419752	NaN
20120107	0.0879765376449	0.108433738351	0.113570742309	NaN
20120108	0.0938416421413	0.104522615671	0.102983638644	NaN
20120109	0.0879765376449	0.108433738351	0.0981713160872	NaN
20120110	0.092864125967	0.112449802458	0.111645810306	NaN
20120111	0.0967741906643	0.108324974775	0.10693641752	NaN
20120112	0.104594327509	0.105315946042	0.1068334952	NaN
20120113	0.0840664729476	0.103206411004	0.100961536169	NaN
20120114	0.0888671875	0.10521042347	0.111538462341	NaN
20120115	0.087890625	0.106212422252	0.106730766594	NaN
20120116	0.0908203125	0.100200399756	0.110576920211	NaN
20120117	0.0771484375	0.101202405989	0.108653843403	NaN
20120118	0.0801564007998	0.089178353548	0.105769231916	NaN
20120119	0.073313780129	0.0951903834939	0.108653843403	NaN
20120120	0.0782778859139	0.0961923822761	0.110576920211	NaN
20120121	0.0743639916182	0.0921843722463	0.0980769246817	NaN
20120122	0.076320938766	0.0892678052187	0.105769231916	NaN
20120123	0.0753424689174	0.0882647931576	0.103946104646	NaN
20120124	0.076320938766	0.0912738218903	0.101058706641	NaN
20120125	0.0733855217695	0.0892678052187	0.0972088575363	NaN
20120126	0.0782778859139	0.0942828506231	0.1068334952	NaN
20120127	0.0792563632131	0.0832497477531	0.104908563197	NaN
20120128	0.0841487273574	0.093279838562	0.114533208311	NaN
20120129	0.0792563632131	0.0952858552337	0.111753374338	NaN
20120130	0.0831702575087	0.0972918719053	0.119460500777	NaN
20120131	0.0841487273574	0.0931863710284	0.115606933832	NaN
20120201	0.0831702575087	0.0970970988274	0.119460500777	NaN
20120202	0.0782778859139	0.096096098423	0.131021201611	NaN
20120203	0.0812133103609	0.096096098423	0.128131017089	NaN
20120204	0.0821917802095	0.0970970988274	0.131984591484	NaN
20120205	0.0782778859139	0.0961923822761	0.124277457595	NaN
20120206	0.0733855217695	0.101202405989	0.130057796836	NaN
20120207	0.0861056745052	0.0961923822761	0.135838150978	NaN
20120208	0.0802348330617	0.118236474693	0.136801540852	NaN
20120209	0.0831702575087	0.104312941432	0.151252403855	NaN
20120210	0.0791788846254	0.114343032241	0.147398844361	NaN
20120211	0.092864125967	0.112337008119	0.161849707365	NaN
20120212	0.091796875	0.110330991447	0.172281041741	NaN
20120213	0.0997067466378	0.116349048913	0.180154144764	NaN
20120214	0.0889540538192	0.105315946042	0.177263975143	NaN
20120215	0.0938416421413	0.105315946042	0.183044314385	NaN
20120216	0.0918866097927	0.107321962714	0.187861278653	NaN
20120217	0.0997067466378	0.108433738351	0.187861278653	NaN
