date	funestus_sc_1_arabiensis_sc_5	funestus_sc_0.15_arabiensis_sc_3.5	funestus_sc_1_arabiensis_sc_5	observed
20111121	0.0550193041563	0.0319680310786	0.0550193041563	NaN
20111122	0.0463320463896	0.0249750241637	0.0463320463896	NaN
20111123	0.055984556675	0.0249750241637	0.055984556675	NaN
20111124	0.0453667938709	0.0269730277359	0.0453667938709	NaN
20111125	0.0511583015323	0.0299401190132	0.0511583015323	NaN
20111126	0.047342993319	0.0259481035173	0.047342993319	NaN
20111127	0.0444874279201	0.0289421156049	0.0444874279201	NaN
20111128	0.046421661973	0.0329012945294	0.046421661973	NaN
20111129	0.0502901338041	0.0319042876363	0.0502901338041	NaN
20111130	0.0502901338041	0.0298804789782	0.0502901338041	NaN
20111201	0.0551257245243	0.0288844630122	0.0551257245243	NaN
20111202	0.0551790893078	0.0308764949441	0.0551790893078	NaN
20111203	0.049370765686	0.0308764949441	0.049370765686	NaN
20111204	0.0532429814339	0.03187251091	0.0532429814339	NaN
20111205	0.050338819623	0.0249003991485	0.050338819623	NaN
20111206	0.0522749274969	0.0258964151144	0.0522749274969	0.0313479623824
20111207	0.0561471432447	0.0278606973588	0.0561471432447	NaN
20111208	0.0522749274969	0.0218905471265	0.0522749274969	NaN
20111209	0.0483558997512	0.023880597204	0.0483558997512	NaN
20111210	0.0473887808621	0.0318407975137	0.0473887808621	NaN
20111211	0.037717603147	0.0248756222427	0.037717603147	NaN
20111212	0.0232108309865	0.015936255455	0.0232108309865	NaN
20111213	0.0193423591554	0.0189243033528	0.0193423591554	NaN
20111214	0.02224371396	0.0219341982156	0.02224371396	NaN
20111215	0.0270793028176	0.0239282157272	0.0270793028176	NaN
20111216	0.0357833653688	0.0259222332388	0.0357833653688	NaN
20111217	0.0387596897781	0.0319042876363	0.0387596897781	NaN
20111218	0.0368217043579	0.032868526876	0.0368217043579	NaN
20111219	0.0348837226629	0.0308764949441	0.0348837226629	NaN
20111220	0.0416666679084	0.0338308475912	0.0416666679084	NaN
20111221	0.0406976751983	0.0328358225524	0.0406976751983	NaN
20111222	0.0387972854078	0.0308764949441	0.0387972854078	NaN
20111223	0.039767216891	0.0298804789782	0.039767216891	NaN
20111224	0.0417070798576	0.0338645428419	0.0417070798576	NaN
20111225	0.0358874872327	0.0308764949441	0.0358874872327	NaN
20111226	0.0368574187159	0.0308764949441	0.0368574187159	NaN
20111227	0.0368932038546	0.032868526876	0.0368932038546	NaN
20111228	0.0398058257997	0.0398406386375	0.0398058257997	NaN
20111229	0.0368932038546	0.0358565747738	0.0368932038546	NaN
20111230	0.0407766997814	0.0358208939433	0.0407766997814	NaN
20111231	0.0398058257997	0.0318407975137	0.0398058257997	NaN
20120101	0.0417070798576	0.0318407975137	0.0417070798576	NaN
20120102	0.0426770113409	0.0298507455736	0.0426770113409	NaN
20120103	0.0358874872327	0.0278606973588	0.0358874872327	NaN
20120104	0.0465567409992	0.0288557205349	0.0465567409992	NaN
20120105	0.0436469465494	0.0278606973588	0.0436469465494	NaN
20120106	0.0417070798576	0.0309072788805	0.0417070798576	NaN
20120107	0.0339476242662	0.024925224483	0.0339476242662	NaN
20120108	0.0368217043579	0.024925224483	0.0368217043579	NaN
20120109	0.0387596897781	0.0309072788805	0.0387596897781	NaN
20120110	0.0349175557494	0.0269192419946	0.0349175557494	NaN
20120111	0.0387972854078	0.0289421156049	0.0387972854078	NaN
20120112	0.0358874872327	0.0239760242403	0.0358874872327	NaN
20120113	0.0339147299528	0.0249750241637	0.0339147299528	NaN
20120114	0.0339805819094	0.0249750241637	0.0339805819094	NaN
20120115	0.0349175557494	0.0229770224541	0.0349175557494	NaN
20120116	0.0290979631245	0.0229770224541	0.0290979631245	NaN
20120117	0.0261881668121	0.0219780225307	0.0261881668121	NaN
20120118	0.0310077518225	0.0279441121966	0.0310077518225	NaN
20120119	0.0290697682649	0.0199600793421	0.0290697682649	NaN
20120120	0.0339147299528	0.0189620759338	0.0339147299528	NaN
20120121	0.0290979631245	0.0169660672545	0.0290979631245	NaN
20120122	0.0290979631245	0.0209580846131	0.0290979631245	NaN
20120123	0.0300678946078	0.0169660672545	0.0300678946078	NaN
20120124	0.0368574187159	0.0209371875972	0.0368574187159	NaN
20120125	0.0320077612996	0.0189431700855	0.0320077612996	NaN
20120126	0.0339476242662	0.0159521438181	0.0339476242662	NaN
20120127	0.0261881668121	0.0179461613298	0.0261881668121	NaN
20120128	0.0320077612996	0.0189431700855	0.0320077612996	NaN
20120129	0.0290979631245	0.0199401788413	0.0290979631245	NaN
20120130	0.0358874872327	0.0189243033528	0.0358874872327	NaN
20120131	0.0329776927829	0.0219123512507	0.0329776927829	NaN
20120201	0.0320077612996	0.0219123512507	0.0320077612996	NaN
20120202	0.0349175557494	0.0249003991485	0.0349175557494	NaN
20120203	0.0329457372427	0.0268924310803	0.0329457372427	NaN
20120204	0.0358527116478	0.0268924310803	0.0358527116478	NaN
20120205	0.0358180068433	0.0229083672166	0.0358180068433	NaN
20120206	0.0319457873702	0.0249003991485	0.0319457873702	NaN
20120207	0.0387221686542	0.0259222332388	0.0387221686542	NaN
20120208	0.0377541147173	0.0269192419946	0.0377541147173	NaN
20120209	0.0367504842579	0.0239282157272	0.0367504842579	NaN
20120210	0.03188405931	0.0229312069714	0.03188405931	NaN
20120211	0.0405405387282	0.0199600793421	0.0405405387282	NaN
20120212	0.0289575289935	0.0289710294455	0.0289575289935	NaN
20120213	0.0308582447469	0.0169830173254	0.0308582447469	NaN
20120214	0.0337837822735	0.0230000000447	0.0337837822735	NaN
