date	funestus_sc_0.75_arabiensis_sc_5	funestus_sc_2.5_arabiensis_sc_4.5	funestus_sc_0.4_arabiensis_sc_3.5	observed
20111121	0.0440122820437	0.0686653777957	0.0101214572787	NaN
20111122	0.0408997945488	0.0715667307377	0.0111336028203	NaN
20111123	0.047034766525	0.0647969022393	0.00910931173712	NaN
20111124	0.0439672805369	0.0744680836797	0.0121457492933	NaN
20111125	0.0480572581291	0.0676982626319	0.00910931173712	NaN
20111126	0.0429447852075	0.0744680836797	0.0111336028203	NaN
20111127	0.0429447852075	0.0744680836797	0.0101112239063	NaN
20111128	0.0429447852075	0.0705996155739	0.0101112239063	NaN
20111129	0.0409416593611	0.0764023214579	0.00606673397124	NaN
20111130	0.0388945750892	0.0763285011053	0.00707070715725	NaN
20111201	0.0399181172252	0.0724637657404	0.00808080844581	NaN
20111202	0.0348004102707	0.0743961334228	0.00909090880305	NaN
20111203	0.0399181172252	0.0724637657404	0.0101010100916	NaN
20111204	0.0296827014536	0.0735009685159	0.0101010100916	NaN
20111205	0.0367722176015	0.0755082294345	0.0101010100916	NaN
20111206	0.0286006126553	0.0735721215606	0.00809716619551	0.0689655172414
20111207	0.0367722176015	0.0802707895637	0.00809716619551	NaN
20111208	0.0357507653534	0.0735009685159	0.00809716619551	NaN
20111209	0.0388151183724	0.0735009685159	0.00810537021607	NaN
20111210	0.0337078645825	0.0735721215606	0.00607902742922	NaN
20111211	0.0357507653534	0.0716360136867	0.00607902742922	NaN
20111212	0.0255102049559	0.0396902225912	0.00202634255402	NaN
20111213	0.023493360728	0.0454985462129	0.00405268510804	NaN
20111214	0.0255362614989	0.042594384402	0.00303643732332	NaN
20111215	0.0316649638116	0.043562438339	0.0101214572787	NaN
20111216	0.0296523515135	0.0532429814339	0.00607287464663	NaN
20111217	0.0399181172252	0.049370765686	0.0131578948349	NaN
20111218	0.03885480389	0.0484027117491	0.0141700403765	NaN
20111219	0.0460593663156	0.0513068735599	0.0131578948349	NaN
20111220	0.0409836061299	0.0571151971817	0.0141700403765	NaN
20111221	0.0338114760816	0.0562015511096	0.0141700403765	NaN
20111222	0.0389344245195	0.0542635656893	0.0121457492933	NaN
20111223	0.0368474908173	0.0562015511096	0.0151821859181	NaN
20111224	0.0399181172252	0.0571705438197	0.0131445908919	NaN
20111225	0.0429887399077	0.0532945729792	0.0151668349281	NaN
20111226	0.0378710329533	0.0552325583994	0.0171890798956	NaN
20111227	0.0388945750892	0.0591085255146	0.0161779578775	NaN
20111228	0.0327533259988	0.0639534890652	0.0151668349281	NaN
20111229	0.0388945750892	0.0610465109348	0.0161779578775	NaN
20111230	0.0348004102707	0.0629844963551	0.0151668349281	NaN
20111231	0.0368474908173	0.0649224817753	0.0161779578775	NaN
20120101	0.0337768681347	0.0649224817753	0.0151668349281	NaN
20120102	0.0317622944713	0.0591085255146	0.0161616168916	NaN
20120103	0.0348360650241	0.0668604671955	0.0182002019137	NaN
20120104	0.0358606539667	0.0610465109348	0.0202224478126	NaN
20120105	0.0348360650241	0.0610465109348	0.01415571291	NaN
20120106	0.0420081950724	0.0638915747404	0.0191919188946	NaN
20120107	0.0328205116093	0.0600193627179	0.0171717163175	NaN
20120108	0.0358974374831	0.0609874166548	0.0161616168916	NaN
20120109	0.0328205116093	0.0609874166548	0.0171717163175	NaN
20120110	0.0389743596315	0.0571151971817	0.0121212117374	NaN
20120111	0.0328205116093	0.0551790893078	0.0161616168916	NaN
20120112	0.0348360650241	0.0542110353708	0.0121212117374	NaN
20120113	0.0348360650241	0.0619554705918	0.01415571291	NaN
20120114	0.0276639349759	0.0532945729792	0.0121334679425	NaN
20120115	0.0286885239184	0.0523255802691	0.00910010095686	NaN
20120116	0.0297131147236	0.0523255802691	0.0101112239063	NaN
20120117	0.0266393441707	0.0436469465494	0.007077856455	NaN
20120118	0.0338114760816	0.0465567409992	0.00707070715725	NaN
20120119	0.0184426233172	0.04563106969	0.00403632689267	NaN
20120120	0.0225409828126	0.0417475737631	0.00807265378535	NaN
20120121	0.0194871798158	0.0475266724825	0.00504540884867	NaN
20120122	0.0256147533655	0.0455868095159	0.00807265378535	NaN
20120123	0.0204918030649	0.0484966039658	0.00605449033901	NaN
20120124	0.0307377055287	0.0494665391743	0.00908173527569	NaN
20120125	0.0256147533655	0.0503875985742	0.00908173527569	NaN
20120126	0.0338114760816	0.0503875985742	0.00908173527569	NaN
20120127	0.0317622944713	0.051356587559	0.00706357229501	NaN
20120128	0.0307377055287	0.0542635656893	0.00605449033901	NaN
20120129	0.0297131147236	0.0494186058641	0.00605449033901	NaN
20120130	0.0297131147236	0.0523763336241	0.0101010100916	NaN
20120131	0.0266393441707	0.0504364706576	0.0050505050458	NaN
20120201	0.0338114760816	0.0533980578184	0.0100908176974	NaN
20120202	0.024590164423	0.0524271838367	0.00807265378535	NaN
20120203	0.0317622944713	0.0563106797636	0.0110998991877	NaN
20120204	0.0286885239184	0.051456309855	0.00908173527569	NaN
20120205	0.0358606539667	0.04563106969	0.01412714459	NaN
20120206	0.0307377055287	0.0573372207582	0.0100908176974	NaN
20120207	0.0246153846383	0.0505344979465	0.01412714459	NaN
20120208	0.0328205116093	0.0495626814663	0.0100908176974	NaN
20120209	0.0287179481238	0.0573372207582	0.01412714459	NaN
20120210	0.0235897433013	0.0573929958045	0.0110998991877	NaN
20120211	0.0276923067868	0.0613437183201	0.0151362260804	NaN
20120212	0.0266666673124	0.0564751699567	0.0110998991877	NaN
20120213	0.0297435894609	0.0603700093925	0.012108980678	NaN
