date	funestus_sc_2_arabiensis_sc_4.5	funestus_sc_2.5_arabiensis_sc_2.5	funestus_sc_4_arabiensis_sc_62	observed
20111121	0.0297741275281	0.0416666679084	0.185147508979	NaN
20111122	0.0246406570077	0.0457317084074	0.185147508979	NaN
20111123	0.0266940444708	0.0436991862953	0.180894315243	NaN
20111124	0.0328542105854	0.050864700228	0.18597561121	NaN
20111125	0.0410677604377	0.0518819950521	0.175991863012	NaN
20111126	0.0318275168538	0.0579857565463	0.185147508979	NaN
20111127	0.0379876792431	0.0549338757992	0.191878169775	NaN
20111128	0.0308324769139	0.0651068165898	0.191683575511	NaN
20111129	0.0339157246053	0.0600203461945	0.196754559874	NaN
20111130	0.0318602249026	0.0600203461945	0.200607895851	NaN
20111201	0.0308324769139	0.0590631365776	0.198581561446	NaN
20111202	0.0308324769139	0.0641547888517	0.176113367081	NaN
20111203	0.0308324769139	0.0590631365776	0.185035392642	NaN
20111204	0.0267214793712	0.0621814467013	0.197168856859	NaN
20111205	0.0267489720136	0.0611620806158	0.17795753479	NaN
20111206	0.0298661179841	0.0601427108049	0.190090999007	NaN
20111207	0.0298969075084	0.0570846088231	0.183838382363	NaN
20111208	0.0298969075084	0.0601427108049	0.171717166901	NaN
20111209	0.0268041230738	0.0591233447194	0.162626266479	NaN
20111210	0.0298969075084	0.0601427108049	0.187878787518	NaN
20111211	0.0298969075084	0.0530071370304	0.173737376928	NaN
20111212	0.0350515469909	0.0560652390122	0.161616161466	NaN
20111213	0.0381443314254	0.0458715595305	0.15741674602	NaN
20111214	0.0402061864734	0.0560652390122	0.146464645863	NaN
20111215	0.0371134020388	0.0591836720705	0.156565651298	NaN
20111216	0.0412371121347	0.0571428574622	0.147474750876	NaN
20111217	0.0443298965693	0.0623084791005	0.156565651298	NaN
20111218	0.0556701049209	0.0582226775587	0.152525246143	NaN
20111219	0.0505154654384	0.0632653087378	0.142424240708	NaN
20111220	0.0504634380341	0.0571428574622	0.143434345722	NaN
20111221	0.047373842448	0.0591836720705	0.143434345722	NaN
20111222	0.0463439747691	0.0572012253106	0.14848485589	NaN
20111223	0.0432989709079	0.0561797767878	0.151515156031	NaN
20111224	0.0443298965693	0.0520408153534	0.156565651298	NaN
20111225	0.0423116609454	0.0561224482953	0.162626266479	NaN
20111226	0.0402476787567	0.0510204099119	0.149494946003	NaN
20111227	0.0392156876624	0.0541368760169	0.156565651298	NaN
20111228	0.0340557284653	0.0531154237688	0.14848485589	NaN
20111229	0.0371517017484	0.0480081699789	0.161616161466	NaN
20111230	0.0381836928427	0.0541368760169	0.143434345722	NaN
20111231	0.0350877195597	0.0500510707498	0.155712842941	NaN
20120101	0.036119710654	0.0520939752459	0.146612733602	NaN
20120102	0.033023737371	0.0520939752459	0.153690591455	NaN
20120103	0.030959751457	0.0582226775587	0.146464645863	NaN
20120104	0.0299277603626	0.0562372170389	0.142424240708	NaN
20120105	0.036119710654	0.0480572581291	0.154545456171	NaN
20120106	0.030959751457	0.0490797534585	0.153535351157	NaN
20120107	0.0350515469909	0.0532241538167	0.144298687577	NaN
20120108	0.0381050445139	0.0480572581291	0.155398592353	NaN
20120109	0.0381050445139	0.0562372170389	0.150353178382	NaN
20120110	0.0360453128815	0.0562372170389	0.13521695137	NaN
20120111	0.0360453128815	0.053169734776	0.156407669187	NaN
20120112	0.0371134020388	0.0521472394466	0.146316856146	NaN
20120113	0.0319587625563	0.053169734776	0.160443991423	NaN
20120114	0.0298969075084	0.0491299889982	0.152371346951	NaN
20120115	0.0288659799844	0.0532241538167	0.151362255216	NaN
20120116	0.0288659799844	0.0470829084516	0.155398592353	NaN
20120117	0.0278350524604	0.0481064468622	0.158425837755	NaN
20120118	0.0319587625563	0.0450819656253	0.15741674602	NaN
20120119	0.0247422680259	0.0440573766828	0.159434914589	NaN
20120120	0.0319587625563	0.0409836061299	0.151362255216	NaN
20120121	0.0319587625563	0.0481557361782	0.172552973032	NaN
20120122	0.0329896919429	0.0409836061299	0.158425837755	NaN
20120123	0.0340206176043	0.0368852466345	0.166498482227	NaN
20120124	0.0340206176043	0.0378710329533	0.14732593298	NaN
20120125	0.0288659799844	0.0399181172252	0.149344101548	NaN
20120126	0.0381443314254	0.0460593663156	0.153380423784	NaN
20120127	0.0360824726522	0.0409416593611	0.163471236825	NaN
20120128	0.0371134020388	0.0450358241796	0.150353178382	NaN
20120129	0.0319587625563	0.0419651977718	0.16868686676	NaN
20120130	0.0381443314254	0.0511247441173	0.180808082223	NaN
20120131	0.0340206176043	0.046986721456	0.183838382363	NaN
20120201	0.0432989709079	0.0541368760169	0.179797977209	NaN
20120202	0.0360453128815	0.046986721456	0.20000000298	NaN
20120203	0.0463917516172	0.0541368760169	0.206060603261	NaN
20120204	0.0412371121347	0.0530612245202	0.203030303121	NaN
20120205	0.0423116609454	0.0510204099119	0.221212118864	NaN
20120206	0.0402061864734	0.0489795915782	0.21414141357	NaN
20120207	0.0412371121347	0.0479591824114	0.237373739481	NaN
20120208	0.0350515469909	0.0438775494695	0.238383844495	NaN
20120209	0.0360824726522	0.049029622227	0.252780586481	NaN
20120210	0.0350515469909	0.0429009199142	0.246713846922	NaN
20120211	0.0401647798717	0.0480572581291	0.249747216701	NaN
20120212	0.0308641977608	0.0398772992194	0.25884732604	NaN
20120213	0.037037037313	0.046986721456	0.254802823067	NaN
20120214	0.0267489720136	0.045965269208	0.255813956261	NaN
20120215	0.0350154489279	0.0500000007451	0.241658240557	NaN
20120216	0.0278063844889	0.0459183678031	0.256825089455	NaN
