date	funestus_sc_1_arabiensis_sc_3	funestus_sc_1.5_arabiensis_sc_3	funestus_sc_4.5_arabiensis_sc_57	observed
20111121	0.0410557202995	0.0670000016689	0.246492981911	NaN
20111122	0.0400390625	0.0670000016689	0.23446893692	NaN
20111123	0.0381231680512	0.0709290727973	0.226452901959	NaN
20111124	0.0371456518769	0.0689310654998	0.235470935702	NaN
20111125	0.0420332364738	0.0649350658059	0.226452901959	NaN
20111126	0.0352250486612	0.0659340694547	0.229458913207	NaN
20111127	0.0362035222352	0.0619380623102	0.231462925672	NaN
20111128	0.0352250486612	0.0579420588911	0.221442893147	NaN
20111129	0.0391389429569	0.0719280689955	0.225677028298	NaN
20111130	0.0312805473804	0.0618762485683	0.233701109886	NaN
20111201	0.0390625	0.0608782432973	0.223671019077	NaN
20111202	0.0351219512522	0.0589410588145	0.241725176573	NaN
20111203	0.0419103316963	0.0609390623868	0.227683052421	NaN
20111204	0.0350535549223	0.0649350658059	0.216649949551	NaN
20111205	0.0409356728196	0.062937065959	0.218655973673	NaN
20111206	0.0331707298756	0.0579999983311	0.206827312708	NaN
20111207	0.033203125	0.0610000006855	0.210843369365	NaN
20111208	0.0380859375	0.0619999989867	0.20281124115	NaN
20111209	0.0380859375	0.0680680647492	0.198795184493	NaN
20111210	0.0302734375	0.0599999986589	0.191767066717	NaN
20111211	0.0312195122242	0.0689999982715	0.207831323147	NaN
20111212	0.0351219512522	0.0640000030398	0.213065326214	NaN
20111213	0.0321951210499	0.0649999976158	0.196177065372	NaN
20111214	0.0321951210499	0.0610000006855	0.196177065372	NaN
20111215	0.0292397662997	0.0680000036955	0.183919593692	NaN
20111216	0.031189084053	0.0619999989867	0.190954774618	NaN
20111217	0.0419103316963	0.0730730742216	0.190954774618	NaN
20111218	0.0448780469596	0.0760760754347	0.181909546256	NaN
20111219	0.0468292683363	0.074074074626	0.1899497509	NaN
20111220	0.0390243902803	0.072144292295	0.183919593692	NaN
20111221	0.0409756079316	0.0711422860622	0.181909546256	NaN
20111222	0.0351219512522	0.0671342685819	0.198994979262	NaN
20111223	0.0331384018063	0.0691382735968	0.192964822054	NaN
20111224	0.039961013943	0.0700700730085	0.182914569974	NaN
20111225	0.0321637429297	0.0660660639405	0.208040207624	NaN
20111226	0.0331384018063	0.0660660639405	0.20381526649	NaN
20111227	0.0341463424265	0.0750000029802	0.20361083746	NaN
20111228	0.0341463424265	0.0670000016689	0.195586755872	NaN
20111229	0.03515625	0.0659999996424	0.1953907758	NaN
20111230	0.0322265625	0.0590000003576	0.188376754522	NaN
20111231	0.02734375	0.0689999982715	0.186559677124	NaN
20120101	0.0342130996287	0.0659999996424	0.175526574254	NaN
20120102	0.0283479969949	0.0580580569804	0.185742974281	NaN
20120103	0.0254154447466	0.0580580569804	0.191574722528	NaN
20120104	0.0244379285723	0.0560560561717	0.190380766988	NaN
20120105	0.0254154447466	0.0490490496159	0.179358720779	NaN
20120106	0.0273704789579	0.0580580569804	0.182547643781	NaN
20120107	0.0312805473804	0.0460460446775	0.191574722528	NaN
20120108	0.0303030312061	0.0510510504246	0.171514540911	NaN
20120109	0.0293255131692	0.0440440438688	0.179358720779	NaN
20120110	0.0312805473804	0.0510510504246	0.182547643781	NaN
20120111	0.0342130996287	0.048096191138	0.18154463172	NaN
20120112	0.035190615803	0.0450901798904	0.20461383462	NaN
20120113	0.0273704789579	0.0470941886306	0.1953907758	NaN
20120114	0.0312805473804	0.0591182373464	0.198396787047	NaN
20120115	0.0283479969949	0.0430861711502	0.184553667903	NaN
20120116	0.0342130996287	0.0501001998782	0.196589767933	NaN
20120117	0.0273704789579	0.0470941886306	0.189568713307	NaN
20120118	0.0303030312061	0.0550550557673	0.20361083746	NaN
20120119	0.0254154447466	0.0490490496159	0.20361083746	NaN
20120120	0.0342130996287	0.0540000014007	0.208625882864	NaN
20120121	0.025440312922	0.0500000007451	0.205410823226	NaN
20120122	0.0293829571456	0.0599999986589	0.22244489193	NaN
20120123	0.0254652295262	0.0560000017285	0.215430855751	NaN
20120124	0.0313418209553	0.0590000003576	0.213640928268	NaN
20120125	0.028403526172	0.0529999993742	0.224674016237	NaN
20120126	0.0362389795482	0.0529470518231	0.237713143229	NaN
20120127	0.0303623899818	0.0529470518231	0.221887543798	NaN
20120128	0.037218414247	0.0519480518997	0.231927707791	NaN
20120129	0.0323529429734	0.0499500483275	0.236947789788	NaN
20120130	0.0343137271702	0.0579420588911	0.230923697352	NaN
20120131	0.031372550875	0.0499500483275	0.235943779349	NaN
20120201	0.0362745113671	0.0529470518231	0.239959836006	NaN
20120202	0.0411764718592	0.0459540449083	0.25	NaN
20120203	0.0421568639576	0.0610000006855	0.269076317549	NaN
20120204	0.0421568639576	0.0450000017881	0.264056235552	NaN
20120205	0.0381978452206	0.0520520508289	0.282128512859	NaN
20120206	0.0391389429569	0.057057056576	0.275100409985	NaN
20120207	0.0410557202995	0.0610610619187	0.293762564659	NaN
20120208	0.0410557202995	0.0510510504246	0.28772637248	NaN
20120209	0.035190615803	0.0590590573847	0.297786712646	NaN
20120210	0.037109375	0.0490981973708	0.301810860634	NaN
20120211	0.0419921875	0.055110219866	0.300804823637	NaN
20120212	0.0361328125	0.0460921861231	0.309859156609	NaN
20120213	0.0380859375	0.0561122260988	0.303517580032	NaN
20120214	0.0380859375	0.051102206111	0.297786712646	NaN
20120215	0.0380859375	0.0521042086184	0.300804823637	NaN
20120216	0.0390625	0.051102206111	0.323943674564	NaN
20120217	0.0341796875	0.051102206111	0.31589537859	NaN
