date	funestus_sc_0.02_arabiensis_sc_3	funestus_sc_1.5_arabiensis_sc_3	funestus_sc_0.02_arabiensis_sc_3	observed
20111121	0.011940298602	0.0370741486549	0.011940298602	NaN
20111122	0.0129353236407	0.0380761511624	0.0129353236407	NaN
20111123	0.0159203987569	0.0370741486549	0.0159203987569	NaN
20111124	0.0159203987569	0.0360721461475	0.0159203987569	NaN
20111125	0.0149402394891	0.0380761511624	0.0149402394891	NaN
20111126	0.016932271421	0.0370741486549	0.016932271421	NaN
20111127	0.016932271421	0.0290872622281	0.016932271421	NaN
20111128	0.0179282873869	0.0361083261669	0.0179282873869	NaN
20111129	0.0149402394891	0.0391173511744	0.0149402394891	NaN
20111130	0.0129482075572	0.0351053141057	0.0129482075572	NaN
20111201	0.0129611166194	0.0351053141057	0.0129611166194	NaN
20111202	0.0129611166194	0.0360721461475	0.0129611166194	NaN
20111203	0.0169491525739	0.0360721461475	0.0169491525739	NaN
20111204	0.0189243033528	0.0400801599026	0.0189243033528	NaN
20111205	0.0219123512507	0.0350701399147	0.0219123512507	NaN
20111206	0.0189243033528	0.035000000149	0.0189243033528	0.029702970297
20111207	0.0239043831825	0.0340340323746	0.0239043831825	NaN
20111208	0.0268924310803	0.0350350365043	0.0268924310803	NaN
20111209	0.0268924310803	0.0350350365043	0.0268924310803	NaN
20111210	0.0298804789782	0.0390390381217	0.0298804789782	NaN
20111211	0.0239043831825	0.0380380377173	0.0239043831825	NaN
20111212	0.0179282873869	0.0170000009239	0.0179282873869	NaN
20111213	0.0119641078636	0.0219999998808	0.0119641078636	NaN
20111214	0.0129611166194	0.0209999997169	0.0129611166194	NaN
20111215	0.0199401788413	0.0270000007003	0.0199401788413	NaN
20111216	0.0239520967007	0.0340000018477	0.0239520967007	NaN
20111217	0.024950100109	0.0289999991655	0.024950100109	NaN
20111218	0.0259481035173	0.0359999984503	0.0259481035173	NaN
20111219	0.0239282157272	0.0380380377173	0.0239282157272	NaN
20111220	0.0268924310803	0.0340340323746	0.0268924310803	NaN
20111221	0.0249003991485	0.0330330319703	0.0249003991485	NaN
20111222	0.0189243033528	0.0340000018477	0.0189243033528	NaN
20111223	0.0209163352847	0.0320000015199	0.0209163352847	NaN
20111224	0.0228855721653	0.0280280280858	0.0228855721653	NaN
20111225	0.0189054720104	0.0290290284902	0.0189054720104	NaN
20111226	0.0248508937657	0.0310310311615	0.0248508937657	NaN
20111227	0.0208540223539	0.0250500999391	0.0208540223539	NaN
20111228	0.0268123131245	0.0270541086793	0.0268123131245	NaN
20111229	0.0218470711261	0.0280561130494	0.0218470711261	NaN
20111230	0.0228401198983	0.0210420843214	0.0228401198983	NaN
20111231	0.0208540223539	0.0280561130494	0.0208540223539	NaN
20120101	0.0228174608201	0.0260521043092	0.0228174608201	NaN
20120102	0.0208333339542	0.0250500999391	0.0208333339542	NaN
20120103	0.0208333339542	0.0190380755812	0.0208333339542	NaN
20120104	0.0188492070884	0.0220440886915	0.0188492070884	NaN
20120105	0.0158730167896	0.0160320643336	0.0158730167896	NaN
20120106	0.0168650802225	0.0210420843214	0.0168650802225	NaN
20120107	0.0158730167896	0.0130260521546	0.0158730167896	NaN
20120108	0.0158730167896	0.0170340687036	0.0158730167896	NaN
20120109	0.016881827265	0.0170340687036	0.016881827265	NaN
20120110	0.0158887784928	0.0170340687036	0.0158887784928	NaN
20120111	0.0178748760372	0.0190571714193	0.0178748760372	NaN
20120112	0.0148957297206	0.0180541630834	0.0148957297206	NaN
20120113	0.0158887784928	0.0180541630834	0.0158887784928	NaN
20120114	0.0139026809484	0.0160481445491	0.0139026809484	NaN
20120115	0.0148957297206	0.0190571714193	0.0148957297206	NaN
20120116	0.0119284298271	0.0190571714193	0.0119284298271	NaN
20120117	0.0109343938529	0.020020019263	0.0109343938529	NaN
20120118	0.015904571861	0.020020019263	0.015904571861	NaN
20120119	0.0119284298271	0.0190190188587	0.0119284298271	NaN
20120120	0.015904571861	0.0180180184543	0.015904571861	NaN
20120121	0.015904571861	0.020020019263	0.015904571861	NaN
20120122	0.0149105368182	0.0189999993891	0.0149105368182	NaN
20120123	0.0139165008441	0.0170000009239	0.0139165008441	NaN
20120124	0.0189243033528	0.01600000076	0.0189243033528	NaN
20120125	0.016932271421	0.01600000076	0.016932271421	NaN
20120126	0.0189243033528	0.020020019263	0.0189243033528	NaN
20120127	0.0199401788413	0.0189999993891	0.0199401788413	NaN
20120128	0.0199401788413	0.0170000009239	0.0199401788413	NaN
20120129	0.0199600793421	0.0179999992251	0.0199600793421	NaN
20120130	0.0149700595066	0.0179999992251	0.0149700595066	NaN
20120131	0.014955134131	0.01600000076	0.014955134131	NaN
20120201	0.0179461613298	0.0170000009239	0.0179461613298	NaN
20120202	0.0169491525739	0.01600000076	0.0169491525739	NaN
20120203	0.0129611166194	0.0190190188587	0.0129611166194	NaN
20120204	0.0139581253752	0.0190190188587	0.0139581253752	NaN
20120205	0.0169491525739	0.02102102153	0.0169491525739	NaN
20120206	0.0159521438181	0.0190190188587	0.0159521438181	NaN
20120207	0.0219341982156	0.02102102153	0.0219341982156	NaN
20120208	0.0179640725255	0.0170170161873	0.0179640725255	NaN
20120209	0.0199600793421	0.0190190188587	0.0199600793421	NaN
20120210	0.0199600793421	0.0180180184543	0.0199600793421	NaN
20120211	0.0169660672545	0.02102102153	0.0169660672545	NaN
20120212	0.0169491525739	0.016016015783	0.0169491525739	NaN
20120213	0.0159521438181	0.0210420843214	0.0159521438181	NaN
20120214	0.0179461613298	0.0180360730737	0.0179461613298	NaN
