date	funestus_sc_18_arabiensis_sc_57	funestus_sc_18_arabiensis_sc_57	funestus_sc_3.5_arabiensis_sc_57	observed
20111121	0.441206037998	0.441206037998	0.175757572055	NaN
20111122	0.461306542158	0.461306542158	0.173737376928	NaN
20111123	0.446231156588	0.446231156588	0.176767677069	NaN
20111124	0.456281393766	0.456281393766	0.189898982644	NaN
20111125	0.449246227741	0.449246227741	0.171717166901	NaN
20111126	0.450251251459	0.450251251459	0.179797977209	NaN
20111127	0.451807230711	0.451807230711	0.182828277349	NaN
20111128	0.447791159153	0.447791159153	0.191919192672	NaN
20111129	0.438755005598	0.438755005598	0.182828277349	NaN
20111130	0.453266322613	0.453266322613	0.188888892531	NaN
20111201	0.453266322613	0.453266322613	0.190909087658	NaN
20111202	0.449246227741	0.449246227741	0.196770936251	NaN
20111203	0.44522613287	0.44522613287	0.200807258487	NaN
20111204	0.437185943127	0.437185943127	0.195761859417	NaN
20111205	0.419095486402	0.419095486402	0.201816350222	NaN
20111206	0.433165818453	0.433165818453	0.203030303121	0.465346534653
20111207	0.42512562871	0.42512562871	0.189898982644	NaN
20111208	0.429145723581	0.429145723581	0.198989897966	NaN
20111209	0.434170842171	0.434170842171	0.189898982644	NaN
20111210	0.423541247845	0.423541247845	0.188888892531	NaN
20111211	0.417505025864	0.417505025864	0.183838382363	NaN
20111212	0.228370219469	0.228370219469	0.10000000149	NaN
20111213	0.241206035018	0.241206035018	0.109090909362	NaN
20111214	0.232160806656	0.232160806656	0.0920121371746	NaN
20111215	0.244221106172	0.244221106172	0.103134475648	NaN
20111216	0.23393574357	0.23393574357	0.099089987576	NaN
20111217	0.251004010439	0.251004010439	0.116161614656	NaN
20111218	0.23393574357	0.23393574357	0.104145601392	NaN
20111219	0.221887543798	0.221887543798	0.107178971171	NaN
20111220	0.239959836006	0.239959836006	0.108190089464	NaN
20111221	0.238955825567	0.238955825567	0.118301317096	NaN
20111222	0.228915661573	0.228915661573	0.109201215208	NaN
20111223	0.225903615355	0.225903615355	0.121334679425	NaN
20111224	0.215863451362	0.215863451362	0.11627907306	NaN
20111225	0.217871487141	0.217871487141	0.114256821573	NaN
20111226	0.226907625794	0.226907625794	0.109201215208	NaN
20111227	0.205823287368	0.205823287368	0.11627907306	NaN
20111228	0.215863451362	0.215863451362	0.117290191352	NaN
20111229	0.201807230711	0.201807230711	0.104145601392	NaN
20111230	0.205823287368	0.205823287368	0.109311744571	NaN
20111231	0.199799194932	0.199799194932	0.106275305152	NaN
20120101	0.208835348487	0.208835348487	0.0931174084544	NaN
20120102	0.205823287368	0.205823287368	0.106275305152	NaN
20120103	0.207622870803	0.207622870803	0.0961538478732	NaN
20120104	0.220661982894	0.220661982894	0.101214572787	NaN
20120105	0.212424844503	0.212424844503	0.0880566835403	NaN
20120106	0.212424844503	0.212424844503	0.0941295549274	NaN
20120107	0.217434868216	0.217434868216	0.096056625247	NaN
20120108	0.221442893147	0.221442893147	0.101010099053	NaN
20120109	0.228686064482	0.228686064482	0.0969696938992	NaN
20120110	0.237951800227	0.237951800227	0.097979798913	NaN
20120111	0.235943779349	0.235943779349	0.101010099053	NaN
20120112	0.24044264853	0.24044264853	0.106060609221	NaN
20120113	0.230382293463	0.230382293463	0.107070706785	NaN
20120114	0.24044264853	0.24044264853	0.108080811799	NaN
20120115	0.250503003597	0.250503003597	0.105050504208	NaN
20120116	0.252515077591	0.252515077591	0.119191922247	NaN
20120117	0.257286429405	0.257286429405	0.114141412079	NaN
20120118	0.255276381969	0.255276381969	0.11627907306	NaN
20120119	0.268072277307	0.268072277307	0.117290191352	NaN
20120120	0.276104420423	0.276104420423	0.126262620091	NaN
20120121	0.280120491982	0.280120491982	0.122222222388	NaN
20120122	0.27911645174	0.27911645174	0.145454540849	NaN
20120123	0.292168676853	0.292168676853	0.133333340287	NaN
20120124	0.283132523298	0.283132523298	0.149344101548	NaN
20120125	0.291164666414	0.291164666414	0.133198782802	NaN
20120126	0.292878627777	0.292878627777	0.14256824553	NaN
20120127	0.293587177992	0.293587177992	0.153690591455	NaN
20120128	0.293587177992	0.293587177992	0.14560161531	NaN
20120129	0.299599200487	0.299599200487	0.154701724648	NaN
20120130	0.305305302143	0.305305302143	0.150657236576	NaN
20120131	0.304304301739	0.304304301739	0.14560161531	NaN
20120201	0.308308303356	0.308308303356	0.156723961234	NaN
20120202	0.312625259161	0.312625259161	0.163801819086	NaN
20120203	0.305917739868	0.305917739868	0.169868558645	NaN
20120204	0.315631270409	0.315631270409	0.168857425451	NaN
20120205	0.320641279221	0.320641279221	0.175935283303	NaN
20120206	0.332998991013	0.332998991013	0.160931169987	NaN
20120207	0.353707402945	0.353707402945	0.174089074135	NaN
20120208	0.350701391697	0.350701391697	0.173076927662	NaN
20120209	0.371113330126	0.371113330126	0.16902834177	NaN
20120210	0.35843372345	0.35843372345	0.16902834177	NaN
20120211	0.361445784569	0.361445784569	0.187246963382	NaN
20120212	0.354062199593	0.354062199593	0.15485830605	NaN
20120213	0.380140423775	0.380140423775	0.172064781189	NaN
20120214	0.362086266279	0.362086266279	0.171052634716	NaN
20120215	0.370110332966	0.370110332966	0.173076927662	NaN
20120216	0.363089263439	0.363089263439	0.175101220608	NaN
20120217	0.350050151348	0.350050151348	0.168857425451	NaN
20120218	0.368104308844	0.368104308844	0.165824070573	NaN
20120219	0.342026084661	0.342026084661	0.180161938071	NaN
20120220	0.358074218035	0.358074218035	0.172064781189	NaN
20120221	0.35205617547	0.35205617547	0.181174084544	NaN
