date	funestus_sc_0.3_arabiensis_sc_1.25	funestus_sc_0.02_arabiensis_sc_2	funestus_sc_0.3_arabiensis_sc_1.25	observed
20120929	0.00100300903432	0.005859375	0.00100300903432	NaN
20120930	0.00300902710296	0.0078125	0.00300902710296	NaN
20121001	0.00100300903432	0.0048828125	0.00100300903432	NaN
20121002	0.00300902710296	0.0087890625	0.00300902710296	NaN
20121003	0.0020040080417	0.005859375	0.0020040080417	0.003344482
20121004	0.00300902710296	0.00585365854204	0.00300902710296	NaN
20121005	0.00300902710296	0.00584795325994	0.00300902710296	NaN
20121006	0.00300902710296	0.00584795325994	0.00300902710296	NaN
20121007	0.00300902710296	0.00487329438329	0.00300902710296	NaN
20121008	0	0.00487329438329	0	NaN
20121009	0	0.00389863550663	0	NaN
20121010	0.00100401602685	0.00292397662997	0.00100401602685	NaN
20121011	0	0.00487329438329	0	NaN
20121012	0.00100401602685	0.00389863550663	0.00100401602685	NaN
20121013	0	0.00292397662997	0	NaN
20121014	0.00200803205371	0.00194931775331	0.00200803205371	NaN
20121015	0	0.00390243902803	0	NaN
20121016	0.00200803205371	0.00194931775331	0.00200803205371	NaN
20121017	0.00100401602685	0.00292397662997	0.00100401602685	NaN
20121018	0.00200803205371	0.00292397662997	0.00200803205371	NaN
20121019	0.00200803205371	0.00292397662997	0.00200803205371	NaN
20121020	0.00200803205371	0.00292397662997	0.00200803205371	NaN
20121021	0.00100401602685	0.00390243902803	0.00100401602685	NaN
20121022	0.00301204808056	0.00487804878503	0.00301204808056	NaN
20121023	0.00200803205371	0.00292682927102	0.00200803205371	NaN
20121024	0.00301204808056	0.000975609757006	0.00301204808056	NaN
20121025	0.00100401602685	0.00195121951401	0.00100401602685	NaN
20121026	0.00301204808056	0.000975609757006	0.00301204808056	NaN
20121027	0.00301204808056	0.000975609757006	0.00301204808056	NaN
20121028	0.00301204808056	0	0.00301204808056	NaN
20121029	0.00300902710296	0.00292682927102	0.00300902710296	NaN
20121030	0.00401203613728	0.00292682927102	0.00401203613728	NaN
20121031	0.00300902710296	0.000975609757006	0.00300902710296	NaN
20121101	0.00300902710296	0.000974658876657	0.00300902710296	NaN
20121102	0.00301204808056	0.000974658876657	0.00301204808056	NaN
20121103	0.00200803205371	0.00292397662997	0.00200803205371	NaN
20121104	0.00100401602685	0.00292397662997	0.00100401602685	NaN
20121105	0.00200803205371	0.00292397662997	0.00200803205371	NaN
20121106	0.00100401602685	0.00292397662997	0.00100401602685	NaN
20121107	0.00301204808056	0.00292397662997	0.00301204808056	NaN
20121108	0.00200803205371	0.00292112957686	0.00200803205371	NaN
20121109	0.00200803205371	0.00292397662997	0.00200803205371	NaN
20121110	0.00100502511486	0.00292397662997	0.00100502511486	NaN
20121111	0.00201005022973	0.00292112957686	0.00201005022973	NaN
20121112	0	0.00292112957686	0	NaN
20121113	0.00200803205371	0.00292112957686	0.00200803205371	NaN
20121114	0	0.00292112957686	0	NaN
20121115	0.00100401602685	0.00194741971791	0.00100401602685	NaN
20121116	0	0.00292112957686	0	NaN
20121117	0	0.00389483943582	0	NaN
20121118	0	0.00292112957686	0	NaN
20121119	0	0.00487329438329	0	NaN
20121120	0	0.00487329438329	0	NaN
20121121	0	0.00292397662997	0	NaN
20121122	0	0.00487329438329	0	NaN
20121123	0	0.00194931775331	0	NaN
20121124	0	0.00194931775331	0	NaN
20121125	0	0.00194931775331	0	NaN
20121126	0	0.00292682927102	0	NaN
20121127	0	0.0029296875	0	NaN
20121128	0	0.0029296875	0	NaN
20121129	0	0.00293255131692	0	NaN
20121130	0	0.00391389429569	0	NaN
20121201	0	0.00391389429569	0	NaN
20121202	0	0.00293829571456	0	NaN
20121203	0	0.00293829571456	0	NaN
20121204	0	0.00293829571456	0	NaN
20121205	0	0.00293829571456	0	NaN
20121206	0	0.00195886380971	0	NaN
20121207	0.00200803205371	0.00391772761941	0.00200803205371	NaN
20121208	0.00301204808056	0.00391772761941	0.00301204808056	NaN
20121209	0.00602409616113	0.00783545523882	0.00602409616113	NaN
20121210	0.00401606410742	0.00978473573923	0.00401606410742	NaN
20121211	0.00802407227457	0.0137120466679	0.00802407227457	NaN
20121212	0.00702106300741	0.0127326147631	0.00702106300741	NaN
20121213	0.00803212821484	0.0137120466679	0.00803212821484	NaN
20121214	0.00702811265364	0.0137120466679	0.00702811265364	NaN
20121215	0.00704225338995	0.0146914785728	0.00704225338995	NaN
20121216	0.00503018125892	0.0117647061124	0.00503018125892	NaN
20121217	0.00603621732444	0.010784314014	0.00603621732444	NaN
20121218	0.00604229606688	0.0117647061124	0.00604229606688	NaN
20121219	0.00603621732444	0.0117762507871	0.00603621732444	NaN
20121220	0.00603621732444	0.0117647061124	0.00603621732444	NaN
20121221	0.00603621732444	0.0117647061124	0.00603621732444	NaN
20121222	0.00402414472774	0.00980392191559	0.00402414472774	NaN
20121223	0.00603621732444	0.0117647061124	0.00603621732444	NaN
20121224	0.00503018125892	0.0117762507871	0.00503018125892	NaN
20121225	0.00503018125892	0.0137389600277	0.00503018125892	NaN
