date	funestus_sc_1.5_arabiensis_sc_16	funestus_sc_2.5_arabiensis_sc_23	funestus_sc_3_arabiensis_sc_62	observed
20111121	0.143579378724	0.179728314281	0.161665052176	NaN
20111122	0.151668354869	0.177638456225	0.181994184852	NaN
20111123	0.138523757458	0.176593527198	0.176015466452	NaN
20111124	0.149646103382	0.169278994203	0.176982596517	NaN
20111125	0.144590497017	0.159874603152	0.171179890633	NaN
20111126	0.143579378724	0.171368867159	0.175048351288	NaN
20111127	0.147623866796	0.159874603152	0.155706003308	NaN
20111128	0.157735079527	0.173458725214	0.170212760568	NaN
20111129	0.144590497017	0.152560085058	0.170212760568	NaN
20111130	0.146464645863	0.163179919124	0.1586073488	NaN
20111201	0.147474750876	0.16527196765	0.157640233636	NaN
20111202	0.142424240708	0.153765693307	0.15942029655	NaN
20111203	0.143434345722	0.147489532828	0.139130428433	NaN
20111204	0.136226028204	0.153765693307	0.157335907221	NaN
20111205	0.140262365341	0.142259418964	0.155405402183	NaN
20111206	0.137235119939	0.152560085058	0.142719388008	0.0875
20111207	0.152371346951	0.135841175914	0.152215793729	NaN
20111208	0.146316856146	0.14211076498	0.154142588377	NaN
20111209	0.14732593298	0.119246862829	0.153179183602	NaN
20111210	0.145454540849	0.130753144622	0.170520231128	NaN
20111211	0.145454540849	0.126569032669	0.143545284867	NaN
20111212	0.0888888910413	0.0857740566135	0.0963391140103	NaN
20111213	0.10000000149	0.0889121368527	0.101156070828	NaN
20111214	0.103030301631	0.0836820080876	0.103082850575	NaN
20111215	0.0969696938992	0.0993723869324	0.105973027647	NaN
20111216	0.0970677435398	0.101464435458	0.116458132863	NaN
20111217	0.107178971171	0.102510459721	0.116458132863	NaN
20111218	0.11324570328	0.102510459721	0.122232913971	NaN
20111219	0.112234577537	0.106694564223	0.12897016108	NaN
20111220	0.103134475648	0.110878661275	0.115495666861	NaN
20111221	0.105156727135	0.122384935617	0.12127045542	NaN
20111222	0.11627907306	0.107740588486	0.113680154085	NaN
20111223	0.104145601392	0.115062758326	0.115606933832	NaN
20111224	0.105953581631	0.110994763672	0.115495666861	NaN
20111225	0.112008072436	0.113089002669	0.117420598865	NaN
20111226	0.110887095332	0.110994763672	0.108653843403	NaN
20111227	0.111895158887	0.122513085604	0.11249999702	NaN
20111228	0.112789526582	0.118324607611	0.117307692766	NaN
20111229	0.101711980998	0.109947644174	0.121153846383	NaN
20111230	0.11077542603	0.125654444098	0.118269227445	NaN
20111231	0.112789526582	0.123560212553	0.110576920211	NaN
20120101	0.102719031274	0.127748697996	0.11249999702	NaN
20120102	0.112789526582	0.122513085604	0.119230769575	NaN
20120103	0.102719031274	0.113089002669	0.108653843403	NaN
20120104	0.10372608155	0.122513085604	0.109615385532	NaN
20120105	0.111670017242	0.106806285679	0.101923078299	NaN
20120106	0.110663980246	0.112159326673	0.108758419752	NaN
20120107	0.101711980998	0.120545074344	0.113570742309	NaN
20120108	0.114803627133	0.117400422692	0.102983638644	NaN
20120109	0.101609654725	0.11425576359	0.0981713160872	NaN
20120110	0.108542710543	0.105981111526	0.111645810306	NaN
20120111	0.102512560785	0.105981111526	0.10693641752	NaN
20120112	0.0944723635912	0.0986358895898	0.1068334952	NaN
20120113	0.0994974896312	0.0954879298806	0.100961536169	NaN
20120114	0.0903614461422	0.0932914018631	0.111538462341	NaN
20120115	0.0943775102496	0.0848167538643	0.106730766594	NaN
20120116	0.0993975922465	0.0920502096415	0.110576920211	NaN
20120117	0.0933734923601	0.0711297094822	0.108653843403	NaN
20120118	0.105421684682	0.0878661051393	0.105769231916	NaN
20120119	0.0933734923601	0.0774058550596	0.108653843403	NaN
20120120	0.101405620575	0.0889121368527	0.110576920211	NaN
20120121	0.0952858552337	0.0774058550596	0.0980769246817	NaN
20120122	0.093279838562	0.0868200808764	0.105769231916	NaN
20120123	0.0962888672948	0.0878661051393	0.103946104646	NaN
20120124	0.098393574357	0.0784518793225	0.101058706641	NaN
20120125	0.101405620575	0.0762800425291	0.0972088575363	NaN
20120126	0.0994974896312	0.0825496315956	0.1068334952	NaN
20120127	0.100401610136	0.0835073068738	0.104908563197	NaN
20120128	0.101405620575	0.0866388306022	0.114533208311	NaN
20120129	0.105315946042	0.0782881006598	0.111753374338	NaN
20120130	0.108324974775	0.0897703543305	0.119460500777	NaN
20120131	0.116349048913	0.0960334017873	0.115606933832	NaN
20120201	0.115346036851	0.0918580368161	0.119460500777	NaN
20120202	0.122367098928	0.086729362607	0.131021201611	NaN
20120203	0.12437312305	0.0950888171792	0.128131017089	NaN
20120204	0.116349048913	0.0950888171792	0.131984591484	NaN
20120205	0.122367098928	0.0971786826849	0.124277457595	NaN
20120206	0.128385156393	0.10449320823	0.130057796836	NaN
20120207	0.13955822587	0.115987457335	0.135838150978	NaN
20120208	0.130522087216	0.109717868268	0.136801540852	NaN
20120209	0.128385156393	0.119122259319	0.151252403855	NaN
20120210	0.127510040998	0.11389759928	0.147398844361	NaN
20120211	0.129518076777	0.121212124825	0.161849707365	NaN
20120212	0.129518076777	0.111807733774	0.172281041741	NaN
20120213	0.143574297428	0.129571571946	0.180154144764	NaN
20120214	0.132397189736	0.129571571946	0.177263975143	NaN
20120215	0.134538158774	0.127348646522	0.183044314385	NaN
20120216	0.132530122995	0.13048017025	0.187861278653	NaN
20120217	0.127638190985	0.128392487764	0.187861278653	NaN
20120218	0.118592962623	0.127348646522	0.181117534637	NaN
20120219	0.12964823842	0.127348646522	0.194605007768	NaN
20120220	0.126633167267	0.118997909129	0.183044314385	NaN
