date	funestus_sc_3.5_arabiensis_sc_5	funestus_sc_4.5_arabiensis_sc_5	funestus_sc_0.1_arabiensis_sc_3.5	observed
20111121	0.196891188622	0.285276085138	0.0196078438312	NaN
20111122	0.186528503895	0.286298573017	0.0235294122249	NaN
20111123	0.209326431155	0.289366066456	0.0235294122249	NaN
20111124	0.193983405828	0.293456017971	0.0225490201265	NaN
20111125	0.217616572976	0.288343548775	0.0235294122249	NaN
20111126	0.219689115882	0.308793455362	0.0245098043233	NaN
20111127	0.22925311327	0.309109508991	0.0333333350718	NaN
20111128	0.224299058318	0.295501023531	0.028431372717	NaN
20111129	0.235721707344	0.306748479605	0.0225490201265	NaN
20111130	0.229491174221	0.303370773792	0.0245098043233	NaN
20111201	0.233644858003	0.31052094698	0.0254901964217	NaN
20111202	0.231568023562	0.308478027582	0.0196078438312	NaN
20111203	0.240124747157	0.309815943241	0.0264705885202	NaN
20111204	0.213097706437	0.311542391777	0.0274509806186	NaN
20111205	0.232848227024	0.312563836575	0.0304518658668	NaN
20111206	0.222453221679	0.304392248392	0.018664047122	0.351931330472
20111207	0.223725289106	0.311542391777	0.0275049116463	NaN
20111208	0.22892819345	0.308478027582	0.0235988199711	NaN
20111209	0.235416665673	0.312563836575	0.0285152401775	NaN
20111210	0.227083340287	0.312563836575	0.0235988199711	NaN
20111211	0.233576640487	0.307456582785	0.0235988199711	NaN
20111212	0.105318039656	0.141981616616	0.00688298931345	NaN
20111213	0.117831073701	0.13993871212	0.0137659786269	NaN
20111214	0.116788320243	0.14504596591	0.0137795275077	NaN
20111215	0.120959334075	0.1501532197	0.0216535441577	NaN
20111216	0.118997909129	0.14504596591	0.0127952760086	NaN
20111217	0.132567852736	0.149131760001	0.0206692907959	NaN
20111218	0.130616515875	0.158324822783	0.0167322829366	NaN
20111219	0.138975962997	0.163432076573	0.0226377956569	NaN
20111220	0.127481713891	0.157303377986	0.0157480314374	NaN
20111221	0.126436784863	0.159346267581	0.0186823997647	NaN
20111222	0.118077322841	0.162410616875	0.0137659786269	NaN
20111223	0.126436784863	0.166496425867	0.0196656826884	NaN
20111224	0.117032393813	0.163432076573	0.0147492624819	NaN
20111225	0.125391855836	0.170582219958	0.0196656826884	NaN
20111226	0.111807733774	0.16547498107	0.0176991149783	NaN
20111227	0.126436784863	0.161389172077	0.0206489674747	NaN
20111228	0.118077322841	0.15800203383	0.0186823997647	NaN
20111229	0.129571571946	0.16513761878	0.0196656826884	NaN
20111230	0.111691020429	0.162079513073	0.0147492624819	NaN
20111231	0.116788320243	0.164118245244	0.0196656826884	NaN
20120101	0.109489053488	0.153924569488	0.016715830192	NaN
20120102	0.113660059869	0.168195724487	0.0206489674747	NaN
20120103	0.115745566785	0.155963301659	0.0147492624819	NaN
20120104	0.115745566785	0.155963301659	0.0226155351847	NaN
20120105	0.10844630003	0.145769625902	0.016715830192	NaN
20120106	0.112734861672	0.161060139537	0.0226155351847	NaN
20120107	0.105538137257	0.159021407366	0.0186823997647	NaN
20120108	0.120167188346	0.164285719395	0.0245338566601	NaN
20120109	0.100313477218	0.161224484444	0.0176643766463	NaN
20120110	0.108786612749	0.157142862678	0.0215897932649	NaN
20120111	0.098223619163	0.15306122601	0.0147203141823	NaN
20120112	0.107628002763	0.160204082727	0.0215897932649	NaN
20120113	0.103448279202	0.157142862678	0.0206084400415	NaN
20120114	0.117032393813	0.155102044344	0.0186457317322	NaN
20120115	0.115987457335	0.165306121111	0.0166666675359	NaN
20120116	0.11610879004	0.15918366611	0.0186274517327	NaN
