date	funestus_sc_1.5_arabiensis_sc_5.5	funestus_sc_1_arabiensis_sc_18	funestus_sc_4_arabiensis_sc_57	observed
20111121	0.155155152082	0.139626353979	0.205761313438	NaN
20111122	0.154154151678	0.13470992446	0.183967113495	NaN
20111123	0.151151150465	0.151574805379	0.202466592193	NaN
20111124	0.150150150061	0.13470992446	0.201438844204	NaN
20111125	0.155155152082	0.128810226917	0.209660843015	NaN
20111126	0.158158153296	0.128683686256	0.19855967164	NaN
20111127	0.158158153296	0.135559916496	0.200617283583	NaN
20111128	0.157314628363	0.118860512972	0.203703701496	NaN
20111129	0.16032063961	0.129411771894	0.195473253727	NaN
20111130	0.16032063961	0.125367283821	0.195473253727	NaN
20111201	0.172344684601	0.129158511758	0.19855967164	NaN
20111202	0.163326650858	0.130009770393	0.191358029842	NaN
20111203	0.163000002503	0.130009770393	0.193415641785	NaN
20111204	0.180000007153	0.132942333818	0.200617283583	NaN
20111205	0.167999997735	0.13587488234	0.187242791057	NaN
20111206	0.16816817224	0.117302052677	0.184156373143	0.136246786632
20111207	0.171171173453	0.133919849992	0.175925925374	NaN
20111208	0.16816817224	0.11839530617	0.185185179114	NaN
20111209	0.179179176688	0.123287670314	0.168724283576	NaN
20111210	0.176176175475	0.117416828871	0.173868313432	NaN
20111211	0.170170173049	0.112524464726	0.18106995523	NaN
20111212	0.10010010004	0.0772994160652	0.0936213955283	NaN
20111213	0.0980980992317	0.0802348330617	0.11213991791	NaN
20111214	0.104104101658	0.076320938766	0.100823044777	NaN
20111215	0.103206411004	0.0850439891219	0.116135664284	NaN
20111216	0.114228457212	0.0851272046566	0.114080160856	NaN
20111217	0.111111111939	0.0978473573923	0.125385403633	NaN
20111218	0.121121123433	0.0880626216531	0.126413151622	NaN
20111219	0.111111111939	0.110459432006	0.137718394399	NaN
20111220	0.109218433499	0.092864125967	0.125256672502	NaN
20111221	0.117352053523	0.092864125967	0.131416842341	NaN
20111222	0.115346036851	0.09375	0.128205135465	NaN
20111223	0.110330991447	0.10546875	0.124229982495	NaN
20111224	0.106212422252	0.0927734375	0.132443532348	NaN
20111225	0.109327986836	0.108504399657	0.122302159667	NaN
20111226	0.118473894894	0.0977517142892	0.125514402986	NaN
20111227	0.102409638465	0.103515625	0.126543208957	NaN
20111228	0.111557789147	0.111328125	0.117283947766	NaN
20111229	0.110552765429	0.099609375	0.119341567159	NaN
20111230	0.106532663107	0.0946341454983	0.11213991791	NaN
20111231	0.104522615671	0.0936585366726	0.11213991791	NaN
20120101	0.109547741711	0.0887804850936	0.110082305968	NaN
20120102	0.100502513349	0.0946341454983	0.11213991791	NaN
20120103	0.111557789147	0.0868292674422	0.106995888054	NaN
20120104	0.110552765429	0.0935672521591	0.11213991791	NaN
20120105	0.107537686825	0.0896686166525	0.119464471936	NaN
20120106	0.102512560785	0.0994152054191	0.116374872625	NaN
20120107	0.112676054239	0.0963972732425	0.104016475379	NaN
20120108	0.0985915511847	0.0915287211537	0.113285273313	NaN
20120109	0.106639839709	0.0944498553872	0.116374872625	NaN
20120110	0.091457284987	0.102239534259	0.109165810049	NaN
20120111	0.104522615671	0.0866601765156	0.113285273313	NaN
20120112	0.0934673398733	0.0886075943708	0.118434600532	NaN
20120113	0.101507537067	0.0886075943708	0.118434600532	NaN
20120114	0.103621728718	0.0905550122261	0.119464471936	NaN
20120115	0.101609654725	0.103213243187	0.121524199843	NaN
20120116	0.102615691721	0.0866601765156	0.119464471936	NaN
20120117	0.100502513349	0.0867446362972	0.115463919938	NaN
20120118	0.105527639389	0.0925925895572	0.124613799155	NaN
20120119	0.104522615671	0.0828460007906	0.126673534512	NaN
20120120	0.0994974896312	0.0886075943708	0.12049433589	NaN
20120121	0.098393574357	0.0749756544828	0.123583935201	NaN
20120122	0.0953815281391	0.0856864675879	0.127703398466	NaN
20120123	0.0893574282527	0.0749756544828	0.122427985072	NaN
20120124	0.098393574357	0.0847127586603	0.123456791043	NaN
20120125	0.0953815281391	0.0730282366276	0.121399179101	NaN
20120126	0.0883534103632	0.0847953185439	0.121399179101	NaN
20120127	0.0923694744706	0.0857699811459	0.124485597014	NaN
20120128	0.0973895564675	0.0964912250638	0.13786008954	NaN
20120129	0.102409638465	0.0846303477883	0.130658432841	NaN
20120130	0.0933734923601	0.0914396867156	0.149176955223	NaN
20120131	0.0923694744706	0.0797665342689	0.142121523619	NaN
20120201	0.0904522612691	0.0875486359	0.145360827446	NaN
20120202	0.0944723635912	0.0768482461572	0.152577325702	NaN
20120203	0.096482411027	0.0875486359	0.152577325702	NaN
20120204	0.0974874347448	0.0817120596767	0.148453608155	NaN
20120205	0.0955734401941	0.0914396867156	0.156701028347	NaN
20120206	0.107645876706	0.078793771565	0.162886604667	NaN
20120207	0.109547741711	0.0885213986039	0.164086684585	NaN
20120208	0.118592962623	0.0885213986039	0.170278638601	NaN
20120209	0.115577891469	0.0894941613078	0.183694526553	NaN
20120210	0.118592962623	0.0836575850844	0.186790511012	NaN
20120211	0.112789526582	0.0875486359	0.194845363498	NaN
20120212	0.119838871062	0.0875486359	0.184536084533	NaN
20120213	0.109768375754	0.0865758731961	0.192783504725	NaN
20120214	0.119838871062	0.0973709821701	0.196907222271	NaN
20120215	0.112789526582	0.092502437532	0.191752582788	NaN
20120216	0.120845921338	0.0993184000254	0.20000000298	NaN
20120217	0.116817727685	0.0916179344058	0.202061861753	NaN
20120218	0.11782477051	0.0935672521591	0.202883630991	NaN
20120219	0.113796576858	0.0955165699124	0.203703701496	NaN
