iteration,sample,Magude_ChannelBySeasonCohortAnalyzer,total,funestus1,funestus10,funestus11,funestus12,funestus2,funestus3,funestus4,funestus5,funestus6,funestus7,funestus8,funestus9,funestus_max,gambiae1,gambiae10,gambiae11,gambiae12,gambiae2,gambiae3,gambiae4,gambiae5,gambiae6,gambiae7,gambiae8,gambiae9,gambiae_max,outputs
0,11,-52.28486682919093,-52.28486682919093,17.443713165015247,0.1,1.7267465554990813,3.760772483838036,1.859972668817487,10.501279975943481,21.08255222571038,0.1,5.267081220297705,0.1,4.162092367331603,17.708066494759034,7.0,10.908814840647278,5.613526927299058,0.1,0.1,4.850968275759758,0.1,4.742456671551177,4.934182435498478,0.26557454200159514,4.815890944576844,13.344497182837644,0.4013483964933312,7.0,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\ba4\f86\fd9\ba4f86fd-9507-e811-9415-f0921c16b9e5
1,5,-51.37339335726126,-51.37339335726126,0.1,0.1,0.1,0.1,0.1,5.603180724351021,5.2118760439897445,0.9704727254392476,28.501587346895146,7.826565992688347,5.365207059102717,0.1,6.783021829133532,12.001622387384286,10.78091193854855,15.37626299885386,11.038832600304113,0.1,0.1,17.48427662168384,0.1,15.294021583635312,3.467414798802545,0.1,0.1,7.0,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter1_20180201_212310\c6a\c24\239\c6ac2423-9607-e811-9415-f0921c16b9e5
0,15,-38.57309154835662,-38.57309154835662,14.4241512016666,4.565624126806012,0.3848317692109873,0.2954618588724969,0.1,13.101260770739364,0.1,4.684342290238524,0.1,2.2948558431951804,16.09868786354927,22.202979720957085,7.0,0.1,0.1,1.5702718665266957,0.1,0.1,0.1,0.1,8.312551909269285,4.809696868043615,0.1,8.918196652447593,11.002247293302851,6.752373888347129,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\b44\f86\fd9\b44f86fd-9507-e811-9415-f0921c16b9e5
0,22,-34.236900212767246,-34.236900212767246,7.1721783665317655,11.684649457997056,8.362550455386309,14.911650459019839,10.344645221881855,9.820676387227667,2.557289556047648,0.1,0.1,0.1,1.9653199668698431,0.1,7.0,0.1,0.1,7.019293567161133,0.1,5.9631387414662385,14.021090905811922,2.183835438460275,0.1,0.1,23.27557616024316,8.67999208872133,21.56640234917734,5.779014257693995,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\cf4\f86\fd9\cf4f86fd-9507-e811-9415-f0921c16b9e5
1,17,-33.206474341175976,-33.206474341175976,0.1,12.541598397892525,0.1,0.1,10.242722569868928,7.559385192063263,0.1,3.541503557579686,32.38284738021655,0.1,9.59086960975463,8.730264583152074,6.7137635961507796,8.440789884504667,0.1,4.014995855718047,15.582561458166456,10.171285030335106,0.1,0.1,0.1,2.70885913409464,19.206172578212033,0.1,0.1,6.742729203557826,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter1_20180201_212310\bca\c24\239\bcac2423-9607-e811-9415-f0921c16b9e5
1,29,-29.863653721352957,-29.863653721352957,2.178068342377589,0.1,3.0267236930480115,3.851105371668428,0.1,0.1,0.1,0.1,40.0,0.1,35.46111858133585,5.547670584143205,7.0,15.084918009683484,5.821735708498952,15.726795802250676,9.57311602575634,0.1,0.1,4.802697538340532,0.1,0.1,0.1,0.1,0.1,5.78073965236217,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter1_20180201_212310\cea\c24\239\ceac2423-9607-e811-9415-f0921c16b9e5
0,5,-26.887500012809273,-26.887500012809273,24.867695318166383,10.096387893311077,11.838794749775515,5.83759774866234,1.897692937405,2.9789871730547546,0.1,0.1,0.1,1.8131319585527004,0.1,0.1,7.0,1.342113382222401,0.1,15.159761568659668,0.1,0.1,3.9164985744944034,0.1,0.1,0.1,0.1,0.1,0.1,6.855904641245687,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\bf4\f86\fd9\bf4f86fd-9507-e811-9415-f0921c16b9e5
1,11,-26.529543176802086,-26.529543176802086,2.9353882944799237,17.651571986166008,0.1,0.1,16.89118063461882,0.1,0.7358839658840882,0.1,24.62411130664495,0.9183700079175341,3.706075631710023,10.772179464737684,7.0,27.677787732181052,0.1,12.381446556753767,0.1,0.1,9.185688234104148,20.557700647910885,5.516622971694889,0.1,0.1,16.243096907901062,3.0298811799084904,4.910324563528928,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter1_20180201_212310\bfa\c24\239\bfac2423-9607-e811-9415-f0921c16b9e5
0,3,-25.49128936434989,-25.49128936434989,0.1,10.248539220251171,7.218835573976738,3.4375922598093034,0.1,14.655355802310329,12.259912254073608,0.1,0.1,8.928169748125502,5.468172572039863,0.1,7.0,5.660977455798551,0.1,3.5736188964641897,0.1,19.106675562076926,3.5877637758228795,0.1,0.1,0.1,0.1,0.1,7.446131747178353,5.430562119901012,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\c24\f86\fd9\c24f86fd-9507-e811-9415-f0921c16b9e5
0,31,-22.899110011010407,-22.899110011010407,0.1,0.1,1.3112242597558803,0.1,4.981653226919682,5.643892815933563,13.886224938465846,5.649049523291848,5.488369076937462,8.207685577232029,0.1,0.1,5.47939750311495,3.0506695181427093,0.1,0.1,12.790991991954007,10.753424320162942,11.21007811284612,7.350968038865322,0.1,3.531832455719232,0.1,0.1,0.1,6.989112909065665,\\internal.idm.ctr\IDM\Home\pselvaraj\output\MozambiqueEntoCalibTest1_iter0_20180201_212150\c64\f86\fd9\c64f86fd-9507-e811-9415-f0921c16b9e5
